# ---
# domain: SConstRange
# op: Umin
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [1, 2]
# - [3, 1]
# - [8, 492]
# - [9, 12]
# - [10, 1]
# - [16, 358]
# - [17, 11]
# - [21, 1]
# - [24, 2]
# - [25, 1]
# - [31, 1]
# - [32, 8104]
# - [33, 358]
# - [34, 55]
# - [35, 197]
# - [36, 22]
# - [37, 20]
# - [38, 32]
# - [39, 2]
# - [40, 7]
# - [41, 3]
# - [42, 5]
# - [43, 1]
# - [44, 3]
# - [47, 2]
# - [48, 6]
# - [56, 2]
# - [59, 1]
# - [61, 6]
# - [62, 6]
# - [63, 1]
# - [64, 13019]
# - [65, 786]
# - [66, 394]
# - [67, 539]
# - [68, 245]
# - [69, 159]
# - [70, 113]
# - [71, 46]
# - [72, 50]
# - [73, 25]
# - [74, 36]
# - [75, 9]
# - [76, 15]
# - [77, 2]
# - [78, 2]
# - [79, 1]
# - [80, 2]
# - [81, 2]
# - [83, 1]
# - [84, 2]
# - [85, 4]
# - [86, 1]
# - [87, 1]
# - [88, 1]
# - [89, 1]
# - [94, 1]
# - [96, 5]
# - [97, 1]
# - [101, 1]
# - [104, 1]
# - [112, 1]
# - [128, 373]
# - [129, 2]
# - [130, 4]
# - [131, 3]
# - [132, 1]
# - [133, 1]
# - [134, 2]
# - [140, 1]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
1	[-1, 0]	[-1, 0]	[-1, 0]	42462
1	[-1, 0]	[0, 0]	[0, 0]	3
3	[-4, -4]	[-4, 3]	[-4, 3]	2
8	[57, 57]	[-128, 127]	[0, 57]	17808
8	[7, 7]	[-128, 127]	[0, 7]	9250
8	[-28, 1]	[2, 2]	[0, 2]	5199
8	[-128, 127]	[-128, 127]	[-128, 127]	5089
8	[40, 40]	[-128, 127]	[0, 40]	2289
8	[4, 4]	[-128, 127]	[0, 4]	1959
8	[2, 2]	[-128, 127]	[0, 2]	1758
8	[-2, 2]	[3, 3]	[0, 3]	1082
8	[1, 1]	[-128, 127]	[0, 1]	1064
8	[24, 24]	[-128, 127]	[0, 24]	902
8	[21, 21]	[-128, 127]	[0, 21]	722
8	[-2, -2]	[-128, 127]	[-128, 127]	614
8	[-11, -11]	[-128, 127]	[-128, 127]	614
8	[11, 11]	[-128, 127]	[0, 11]	528
8	[5, 5]	[-128, 127]	[0, 5]	510
8	[-128, 127]	[8, 8]	[0, 8]	471
8	[0, 0]	[-2, -2]	[0, 0]	460
8	[32, 32]	[-128, 127]	[0, 32]	426
8	[-128, 127]	[3, 3]	[0, 3]	414
8	[-3, -3]	[-128, 127]	[-128, 127]	404
8	[-4, -4]	[-128, 127]	[-128, 127]	404
8	[3, 3]	[-128, 127]	[0, 3]	372
8	[7, 7]	[-1, 14]	[0, 7]	364
