# ---
# domain: SConstRange
# op: UsubSat
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 227]
# - [16, 170]
# - [32, 3460]
# - [64, 5337]
# - [128, 121]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[-128, 127]	[-128, 127]	[-128, 127]	682
8	[2, 2]	[0, 1]	[1, 2]	663
8	[23, 23]	[0, 23]	[0, 23]	528
8	[63, 63]	[0, 63]	[0, 63]	182
8	[32, 32]	[0, 31]	[1, 32]	116
8	[30, 30]	[0, 29]	[1, 30]	110
8	[64, 64]	[0, 63]	[1, 64]	107
8	[34, 34]	[0, 31]	[3, 34]	101
8	[8, 8]	[0, 7]	[1, 8]	101
8	[64, 64]	[1, 15]	[49, 63]	84
8	[66, 66]	[0, 63]	[3, 66]	83
8	[-128, 127]	[96, 96]	[-128, 127]	82
8	[-128, 127]	[112, 112]	[-128, 127]	82
8	[48, 48]	[8, 24]	[24, 40]	74
8	[5, 5]	[0, 4]	[1, 5]	69
8	[13, 13]	[-128, 127]	[0, 13]	61
8	[16, 16]	[0, 15]	[1, 16]	53
8	[2, 2]	[-128, 127]	[0, 2]	51
8	[30, 30]	[0, 30]	[0, 30]	50
8	[8, 8]	[0, 8]	[0, 8]	49
8	[-2, -2]	[0, 1]	[-3, -2]	46
8	[4, 4]	[0, 3]	[1, 4]	44
8	[64, 64]	[32, 64]	[0, 32]	44
8	[48, 48]	[-128, 127]	[0, 48]	42
8	[56, 56]	[-128, 127]	[0, 56]	42
8	[64, 64]	[0, 64]	[0, 64]	40
8	[0, 32]	[0, 15]	[0, 32]	39
8	[23, 23]	[-128, 127]	[0, 23]	36
8	[64, 64]	[1, 11]	[53, 63]	36
8	[64, 64]	[1, 14]	[50, 63]	36
8	[11, 11]	[0, 1]	[10, 11]	36
8	[3, 3]	[-128, 127]	[0, 3]	34
8	[11, 11]	[0, 11]	[0, 11]	34
8	[6, 6]	[0, 5]	[1, 6]	32
8	[-128, 127]	[0, 15]	[-128, 127]	30
8	[15, 15]	[0, 14]	[1, 15]	28
8	[7, 7]	[0, 6]	[1, 7]	28
8	[48, 48]	[0, 31]	[17, 48]	28
8	[56, 56]	[0, 31]	[25, 56]	28
8	[24, 24]	[0, 1]	[23, 24]	27
8	[-128, 127]	[1, 1]	[-128, 127]	26
8	[4, 4]	[1, 3]	[1, 3]	26
8	[4, 4]	[-128, 127]	[0, 4]	26
8	[64, 64]	[1, 64]	[0, 63]	25
8	[61, 61]	[0, 60]	[1, 61]	24
8	[-128, 127]	[-65, -1]	[0, 64]	24
8	[64, 64]	[0, 32]	[32, 64]	24
8	[34, 34]	[0, 32]	[2, 34]	23
8	[32, 32]	[1, 31]	[1, 31]	22
8	[8, 8]	[-128, 127]	[0, 8]	22
8	[32, 32]	[16, 31]	[1, 16]	22
8	[64, 64]	[0, 61]	[3, 64]	21
8	[7, 7]	[-128, 127]	[0, 7]	20
8	[6, 6]	[-128, 127]	[0, 6]	20
8	[5, 5]	[-128, 127]	[0, 5]	20
8	[9, 9]	[0, 9]	[0, 9]	20
8	[-128, 127]	[0, 1]	[-128, 127]	19
8	[9, 9]	[-128, 127]	[0, 9]	18
8	[34, 34]	[1, 31]	[3, 33]	18
8	[14, 14]	[0, 1]	[13, 14]	18
8	[49, 49]	[0, 1]	[48, 49]	18
8	[56, 56]	[0, 56]	[0, 56]	18
8	[23, 23]	[1, 23]	[0, 22]	18
8	[63, 63]	[0, 64]	[0, 63]	18
8	[63, 63]	[32, 64]	[0, 31]	18
8	[-128, 127]	[51, 51]	[-128, 127]	15
8	[50, 50]	[16, 25]	[25, 34]	15
8	[2, 2]	[0, 2]	[0, 2]	15
8	[13, 13]	[0, 13]	[0, 13]	15
8	[-128, 127]	[0, 0]	[-128, 127]	15
8	[-128, 127]	[-127, -127]	[0, 126]	13
8	[5, 5]	[0, 5]	[0, 5]	13
8	[0, 13]	[1, 1]	[0, 12]	13
8	[34, 34]	[16, 31]	[3, 18]	12
8	[64, 64]	[27, 33]	[31, 37]	12
8	[64, 64]	[-128, 127]	[0, 64]	12
8	[1, 1]	[-128, 127]	[0, 1]	11
8	[2, 2]	[0, 0]	[2, 2]	11
8	[66, 66]	[0, 64]	[2, 66]	11
8	[0, 15]	[1, 1]	[0, 14]	11
8	[53, 53]	[-128, 127]	[0, 53]	11
8	[53, 53]	[51, 53]	[0, 2]	10
8	[16, 16]	[-128, 127]	[0, 16]	10
8	[8, 8]	[1, 7]	[1, 7]	10
8	[38, 38]	[23, 28]	[10, 15]	10
8	[10, 10]	[0, 9]	[1, 10]	10
8	[24, 24]	[0, 3]	[21, 24]	10
8	[66, 66]	[1, 63]	[3, 65]	9
8	[67, 67]	[16, 24]	[43, 51]	9
8	[-128, 127]	[47, 47]	[-128, 127]	9
8	[64, 64]	[48, 64]	[0, 16]	9
8	[8, 8]	[0, 4]	[4, 8]	8
8	[-126, -126]	[0, 127]	[-128, 127]	8
8	[64, 64]	[1, 61]	[3, 63]	7
8	[32, 32]	[0, 32]	[0, 32]	7
8	[4, 4]	[0, 4]	[0, 4]	7
8	[16, 16]	[0, 8]	[8, 16]	7
8	[67, 67]	[16, 31]	[36, 51]	6
8	[23, 23]	[0, 2]	[21, 23]	6
8	[3, 3]	[0, 2]	[1, 3]	6
8	[-127, -124]	[-128, -128]	[1, 4]	6
8	[26, 26]	[2, 3]	[23, 24]	6
8	[34, 34]	[24, 32]	[2, 10]	6
8	[32, 32]	[0, 0]	[32, 32]	6
8	[-128, -128]	[-128, 127]	[-128, 127]	6
8	[3, 3]	[1, 8]	[0, 2]	5
8	[12, 12]	[0, 1]	[11, 12]	5
8	[11, 11]	[1, 11]	[0, 10]	5
8	[5, 5]	[1, 5]	[0, 4]	5
