# ---
# domain: SConstRange
# op: Xor
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [1, 9]
# - [2, 1]
# - [3, 2]
# - [4, 2]
# - [8, 483]
# - [9, 2]
# - [16, 319]
# - [24, 3]
# - [32, 4518]
# - [40, 2]
# - [64, 3924]
# - [80, 1]
# - [128, 93]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
1	[-1, 0]	[-1, -1]	[-1, 0]	800267
1	[0, 0]	[-1, -1]	[-1, -1]	43759
1	[-1, 0]	[-1, 0]	[-1, 0]	40758
1	[-1, -1]	[-1, -1]	[0, 0]	27082
1	[-1, -1]	[-1, 0]	[-1, 0]	546
1	[0, 0]	[-1, 0]	[-1, 0]	483
1	[-1, 0]	[0, 0]	[-1, 0]	254
1	[0, 0]	[0, 0]	[0, 0]	246
1	[-1, -1]	[0, 0]	[-1, -1]	13
2	[-2, 1]	[-1, -1]	[-2, 1]	11
3	[-4, 3]	[-4, -4]	[-4, 3]	144
3	[-4, 3]	[-1, -1]	[-4, 3]	1
4	[0, 5]	[5, 5]	[0, 7]	20
4	[0, 1]	[1, 1]	[0, 1]	1
8	[-128, 127]	[-1, -1]	[-128, 127]	36304
8	[0, 1]	[1, 1]	[0, 1]	30194
8	[-128, 127]	[-128, 127]	[-128, 127]	7601
8	[0, 31]	[31, 31]	[0, 31]	2532
8	[-128, 127]	[1, 1]	[-128, 127]	2513
8	[-128, 127]	[-128, -128]	[-128, 127]	2019
8	[0, 1]	[0, 1]	[0, 1]	798
8	[-128, 127]	[0, 1]	[-128, 127]	553
8	[0, 0]	[1, 1]	[1, 1]	458
8	[2, 2]	[1, 1]	[3, 3]	438
8	[-128, 127]	[78, 78]	[-128, 127]	413
8	[-128, 127]	[-1, 0]	[-128, 127]	341
8	[-128, 127]	[73, 73]	[-128, 127]	309
8	[-128, 127]	[65, 65]	[-128, 127]	296
8	[-128, 127]	[70, 70]	[-128, 127]	295
8	[0, 1]	[-128, 127]	[-128, 127]	292
8	[0, 2]	[1, 1]	[0, 3]	227
8	[1, 1]	[-1, -1]	[-2, -2]	215
8	[0, 7]	[7, 7]	[0, 7]	206
8	[-128, 127]	[0, 0]	[-128, 127]	201
8	[0, 63]	[63, 63]	[0, 63]	195
8	[-128, 127]	[54, 54]	[-128, 127]	156
8	[-1, 2]	[-1, 2]	[-3, 3]	152
8	[0, 15]	[-1, -1]	[-16, -1]	142
8	[0, 1]	[-1, -1]	[-2, -1]	123
8	[0, 1]	[3, 3]	[2, 3]	115
8	[1, 1]	[-128, 127]	[-128, 127]	112
8	[-128, 127]	[32, 32]	[-128, 127]	109
8	[-128, -1]	[-1, -1]	[0, 127]	108
8	[-128, 127]	[3, 3]	[-128, 127]	106
8	[-128, 127]	[106, 106]	[-128, 127]	102
8	[-128, 127]	[110, 110]	[-128, 127]	99
8	[0, 2]	[2, 2]	[0, 3]	87
8	[-128, 127]	[2, 2]	[-128, 127]	81
8	[-128, 127]	[-16, -16]	[-128, 127]	81
8	[-128, -2]	[-1, -1]	[1, 127]	80
8	[-1, 1]	[-1, 1]	[-2, 1]	78
8	[0, 63]	[-1, -1]	[-64, -1]	73
8	[0, 4]	[4, 4]	[0, 7]	71
8	[110, 110]	[-128, 127]	[-128, 127]	70
8	[0, 0]	[-128, 127]	[-128, 127]	69
8	[0, 0]	[0, 1]	[0, 1]	69
8	[-128, 127]	[8, 8]	[-128, 127]	66
8	[0, 15]	[15, 15]	[0, 15]	61
8	[50, 60]	[-1, -1]	[-61, -51]	59
8	[1, 2]	[-1, -1]	[-3, -2]	58
8	[0, 0]	[0, 0]	[0, 0]	58
8	[-64, 63]	[-128, -128]	[-128, 127]	57
8	[-128, 127]	[16, 16]	[-128, 127]	54
8	[-128, 127]	[92, 92]	[-128, 127]	53
8	[0, 127]	[127, 127]	[0, 127]	51
8	[0, 31]	[0, 63]	[0, 63]	48
8	[1, 1]	[1, 1]	[0, 0]	46
8	[0, 63]	[32, 32]	[0, 63]	46
8	[0, 0]	[7, 7]	[7, 7]	44
8	[28, 58]	[62, 62]	[4, 35]	44
8	[-128, 127]	[24, 24]	[-128, 127]	43
8	[1, 4]	[-1, -1]	[-5, -2]	42
8	[-1, 0]	[-128, 127]	[-128, 127]	42
8	[105, 105]	[-128, 127]	[-128, 127]	42
8	[0, 32]	[-128, 127]	[-128, 127]	41
8	[4, 127]	[126, 126]	[0, 123]	40
8	[0, 32]	[32, 32]	[0, 63]	36
8	[-128, 127]	[10, 10]	[-128, 127]	35
8	[0, 7]	[4, 4]	[0, 7]	34
8	[0, 31]	[-1, -1]	[-32, -1]	34
8	[-1, 0]	[-1, -1]	[-1, 0]	33
8	[1, 1]	[0, 1]	[0, 1]	32
8	[0, 2]	[0, 1]	[0, 3]	32
8	[0, 63]	[0, 31]	[0, 63]	32
8	[0, 1]	[0, 3]	[0, 3]	32
8	[0, 3]	[0, 7]	[0, 7]	32
8	[0, 7]	[0, 15]	[0, 15]	32
8	[0, 15]	[0, 31]	[0, 31]	32
8	[0, 63]	[0, 127]	[0, 127]	32
8	[-128, 127]	[4, 4]	[-128, 127]	30
8	[65, 90]	[32, 32]	[97, 122]	30
8	[-128, 127]	[43, 43]	[-128, 127]	30
8	[102, 102]	[-128, 127]	[-128, 127]	28
8	[0, 1]	[7, 7]	[6, 7]	27
8	[97, 122]	[32, 32]	[65, 90]	26
8	[-128, 127]	[48, 48]	[-128, 127]	26
8	[2, 2]	[-1, -1]	[-3, -3]	26
8	[32, 63]	[63, 63]	[0, 31]	26
8	[0, 7]	[-1, -1]	[-8, -1]	25
8	[0, 2]	[3, 3]	[1, 3]	25
8	[97, 97]	[-128, 127]	[-128, 127]	25
8	[0, 127]	[-1, 0]	[-128, 127]	24
8	[0, 0]	[-1, -1]	[-1, -1]	23
8	[0, 16]	[0, 16]	[0, 31]	22
8	[1, 31]	[31, 31]	[0, 30]	22
8	[0, 2]	[7, 7]	[5, 7]	21
8	[64, 127]	[0, 119]	[0, 127]	21
8	[-128, 127]	[31, 31]	[-128, 127]	20
8	[97, 122]	[-128, 127]	[-128, 127]	20
8	[0, 8]	[-128, 127]	[-128, 127]	20
8	[-128, 127]	[101, 101]	[-128, 127]	19
8	[0, 4]	[0, 4]	[0, 7]	18
8	[-128, 127]	[-2, -2]	[-128, 127]	18
8	[-128, 127]	[-16, 15]	[-128, 127]	18
8	[-128, 127]	[0, 15]	[-128, 127]	17
8	[63, 63]	[-1, -1]	[-64, -64]	16
8	[-16, 15]	[-128, 127]	[-128, 127]	15
8	[-128, -128]	[-1, -1]	[127, 127]	15
8	[-128, 127]	[85, 85]	[-128, 127]	15
8	[0, 31]	[-128, 127]	[-128, 127]	14
8	[-128, 127]	[5, 5]	[-128, 127]	14
8	[-127, 127]	[-127, 127]	[-128, 127]	14
8	[0, 3]	[1, 1]	[0, 3]	13
8	[0, 127]	[-1, -1]	[-128, -1]	12
8	[0, 1]	[0, 0]	[0, 1]	12
8	[-128, 1]	[0, 1]	[-128, 1]	12
