# ---
# domain: UConstRange
# op: AddNsw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [2, 2]
# - [3, 7]
# - [4, 8]
# - [5, 13]
# - [6, 12]
# - [8, 1660]
# - [12, 2]
# - [16, 1306]
# - [24, 4]
# - [28, 1]
# - [30, 1]
# - [31, 5]
# - [32, 36576]
# - [34, 8]
# - [35, 6]
# - [40, 1]
# - [58, 1]
# - [61, 19]
# - [62, 12]
# - [64, 27817]
# - [128, 503]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
2	[3, 3]	[0, 1]	[0, 3]	7
2	[1, 1]	[2, 3]	[0, 3]	2
3	[7, 7]	[0, 3]	[0, 7]	92
3	[6, 6]	[2, 3]	[0, 1]	2
3	[7, 7]	[2, 3]	[1, 2]	2
3	[5, 5]	[0, 3]	[0, 7]	2
3	[6, 6]	[0, 3]	[0, 7]	2
3	[7, 7]	[1, 2]	[0, 1]	2
3	[7, 7]	[1, 3]	[0, 2]	2
4	[15, 15]	[0, 7]	[0, 15]	4
4	[15, 15]	[4, 5]	[3, 4]	2
4	[14, 14]	[4, 5]	[2, 3]	2
4	[13, 13]	[4, 5]	[1, 2]	2
4	[15, 15]	[2, 3]	[1, 2]	2
4	[14, 14]	[2, 3]	[0, 1]	2
4	[15, 15]	[1, 3]	[0, 2]	1
4	[15, 15]	[0, 3]	[0, 15]	1
5	[31, 31]	[1, 8]	[0, 7]	8
5	[30, 30]	[7, 15]	[5, 13]	6
5	[29, 29]	[7, 15]	[4, 12]	6
5	[28, 28]	[7, 15]	[3, 11]	6
5	[30, 30]	[1, 8]	[0, 31]	6
5	[31, 31]	[1, 3]	[0, 2]	3
5	[31, 31]	[0, 3]	[0, 31]	3
5	[30, 30]	[2, 3]	[0, 1]	2
5	[31, 31]	[2, 3]	[1, 2]	2
5	[27, 27]	[7, 15]	[2, 10]	2
5	[25, 25]	[7, 15]	[0, 8]	2
5	[26, 26]	[7, 15]	[1, 9]	2
5	[31, 31]	[1, 4]	[0, 3]	1
6	[16, 16]	[0, 63]	[0, 63]	66
6	[8, 8]	[0, 63]	[0, 63]	19
6	[4, 4]	[0, 63]	[0, 63]	15
6	[12, 12]	[0, 63]	[0, 63]	15
6	[20, 20]	[0, 63]	[0, 63]	12
6	[28, 28]	[0, 63]	[0, 63]	12
6	[24, 24]	[0, 63]	[0, 63]	8
6	[63, 63]	[61, 63]	[60, 62]	2
6	[63, 63]	[1, 3]	[0, 2]	1
6	[63, 63]	[0, 3]	[0, 63]	1
6	[8, 8]	[0, 60]	[0, 63]	1
6	[63, 63]	[1, 10]	[0, 9]	1
8	[253, 253]	[0, 3]	[0, 255]	6593
8	[0, 29]	[228, 228]	[0, 255]	5554
8	[254, 254]	[0, 2]	[0, 255]	5527
8	[0, 255]	[255, 255]	[0, 255]	5312
8	[230, 230]	[0, 26]	[0, 255]	3521
8	[221, 221]	[0, 40]	[0, 255]	2874
8	[48, 57]	[208, 208]	[0, 9]	2410
8	[0, 4]	[254, 254]	[0, 255]	2244
8	[0, 13]	[252, 252]	[0, 255]	2222
8	[0, 33]	[226, 226]	[0, 255]	1747
8	[254, 254]	[0, 3]	[0, 255]	1506
8	[232, 232]	[0, 26]	[0, 255]	1459
8	[0, 255]	[208, 208]	[0, 255]	1416
8	[0, 7]	[254, 254]	[0, 255]	1370
8	[252, 252]	[0, 4]	[0, 255]	1313
8	[232, 232]	[0, 25]	[0, 255]	1110
8	[0, 4]	[253, 253]	[0, 255]	1018
8	[221, 221]	[0, 41]	[0, 255]	969
8	[65, 70]	[201, 201]	[10, 15]	911
8	[234, 234]	[0, 22]	[0, 255]	796
8	[246, 246]	[0, 10]	[0, 255]	796
8	[97, 102]	[169, 169]	[10, 15]	791
8	[0, 31]	[228, 228]	[0, 255]	789
8	[0, 64]	[208, 208]	[0, 255]	756
8	[0, 14]	[248, 248]	[0, 255]	748
8	[226, 226]	[0, 30]	[0, 255]	745
8	[255, 255]	[0, 15]	[0, 255]	653
8	[229, 229]	[0, 27]	[0, 255]	627
8	[0, 21]	[236, 236]	[0, 255]	602
8	[0, 255]	[224, 224]	[0, 255]	600
8	[250, 250]	[0, 6]	[0, 255]	591
8	[0, 255]	[169, 169]	[0, 255]	566
8	[0, 31]	[229, 229]	[0, 255]	557
8	[0, 255]	[201, 201]	[0, 255]	536
8	[255, 255]	[0, 2]	[0, 255]	533
8	[0, 255]	[252, 252]	[0, 255]	532
8	[228, 228]	[0, 28]	[0, 255]	529
8	[0, 9]	[250, 250]	[0, 255]	505
8	[0, 5]	[254, 254]	[0, 255]	505
8	[252, 252]	[0, 7]	[0, 255]	499
8	[0, 3]	[254, 254]	[0, 255]	490
8	[249, 249]	[0, 7]	[0, 255]	483
8	[1, 1]	[0, 255]	[0, 255]	463
8	[247, 247]	[0, 9]	[0, 255]	441
8	[248, 248]	[0, 8]	[0, 255]	428
8	[0, 15]	[255, 255]	[0, 255]	423
