# ---
# domain: UConstRange
# op: AddNuw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [2, 2]
# - [3, 3]
# - [6, 6]
# - [8, 406]
# - [12, 1]
# - [16, 229]
# - [24, 3]
# - [30, 2]
# - [32, 4239]
# - [33, 25]
# - [34, 8]
# - [35, 24]
# - [37, 1]
# - [48, 2]
# - [63, 1]
# - [64, 27056]
# - [65, 41]
# - [66, 25]
# - [67, 39]
# - [68, 13]
# - [69, 8]
# - [70, 15]
# - [71, 11]
# - [72, 4]
# - [74, 3]
# - [82, 1]
# - [83, 4]
# - [95, 1]
# - [96, 6]
# - [104, 1]
# - [120, 1]
# - [123, 1]
# - [128, 291]
# - [160, 2]
# - [192, 3]
# - [199, 1]
# - [201, 1]
# - [206, 2]
# - [218, 1]
# - [224, 2]
# - [289, 1]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
2	[1, 1]	[0, 1]	[1, 2]	7
2	[1, 1]	[0, 2]	[1, 3]	4
3	[1, 1]	[0, 3]	[1, 4]	4
3	[2, 2]	[0, 3]	[2, 5]	4
3	[3, 3]	[0, 3]	[3, 6]	4
6	[8, 8]	[0, 36]	[8, 44]	10
6	[16, 16]	[0, 36]	[16, 52]	10
6	[4, 4]	[0, 36]	[4, 40]	10
6	[12, 12]	[0, 36]	[12, 48]	10
6	[20, 20]	[0, 36]	[20, 56]	10
6	[23, 23]	[0, 9]	[23, 32]	2
8	[0, 255]	[1, 1]	[1, 255]	1678
8	[0, 64]	[64, 64]	[64, 128]	1393
8	[0, 254]	[1, 1]	[1, 255]	1025
8	[0, 120]	[8, 8]	[8, 128]	727
8	[0, 0]	[1, 1]	[1, 1]	505
8	[0, 1]	[1, 1]	[1, 2]	505
8	[0, 2]	[1, 1]	[1, 3]	496
8	[0, 127]	[1, 1]	[1, 128]	415
8	[0, 120]	[16, 16]	[16, 136]	357
8	[64, 64]	[64, 64]	[128, 128]	353
8	[15, 127]	[1, 1]	[16, 128]	200
8	[64, 120]	[8, 8]	[72, 128]	167
8	[0, 96]	[32, 32]	[32, 128]	147
8	[8, 120]	[8, 8]	[16, 128]	146
8	[8, 64]	[64, 64]	[72, 128]	142
8	[0, 255]	[0, 9]	[0, 255]	141
8	[0, 1]	[127, 127]	[127, 128]	139
8	[1, 1]	[0, 254]	[1, 255]	92
8	[1, 1]	[0, 127]	[1, 128]	87
8	[0, 255]	[0, 255]	[0, 255]	82
8	[8, 96]	[32, 32]	[40, 128]	81
8	[1, 1]	[1, 1]	[2, 2]	66
8	[1, 2]	[1, 1]	[2, 3]	66
8	[1, 3]	[1, 1]	[2, 4]	65
8	[0, 0]	[0, 9]	[0, 9]	51
8	[0, 127]	[2, 2]	[2, 129]	51
8	[127, 127]	[0, 4]	[127, 131]	50
8	[65, 90]	[32, 32]	[97, 122]	50
8	[0, 90]	[0, 9]	[0, 99]	49
8	[0, 112]	[16, 16]	[16, 128]	46
8	[8, 128]	[8, 8]	[16, 136]	46
8	[64, 96]	[32, 32]	[96, 128]	45
8	[0, 255]	[0, 1]	[0, 255]	43
8	[8, 128]	[64, 64]	[72, 192]	40
8	[0, 63]	[127, 127]	[127, 190]	33
8	[8, 112]	[16, 16]	[24, 128]	32
8	[8, 8]	[64, 64]	[72, 72]	31
8	[8, 128]	[32, 32]	[40, 160]	29
8	[0, 15]	[0, 240]	[0, 255]	28
8	[0, 127]	[0, 30]	[0, 157]	27
8	[2, 2]	[0, 253]	[2, 255]	26
8	[2, 2]	[0, 127]	[2, 129]	26
8	[1, 1]	[1, 127]	[2, 128]	24
8	[0, 63]	[65, 65]	[65, 128]	21
8	[0, 63]	[71, 71]	[71, 134]	21
8	[8, 8]	[32, 32]	[40, 40]	20
8	[0, 150]	[0, 15]	[0, 165]	20
8	[0, 127]	[0, 128]	[0, 255]	19
8	[64, 112]	[16, 16]	[80, 128]	18
8	[0, 127]	[16, 16]	[16, 143]	18
8	[0, 3]	[1, 1]	[1, 4]	17
8	[0, 0]	[0, 255]	[0, 255]	16
8	[1, 254]	[1, 1]	[2, 255]	16
8	[64, 128]	[8, 8]	[72, 136]	16
8	[8, 128]	[16, 16]	[24, 144]	16
8	[1, 127]	[1, 1]	[2, 128]	14
8	[8, 136]	[8, 8]	[16, 144]	14
8	[0, 9]	[0, 90]	[0, 99]	13
8	[8, 8]	[8, 8]	[16, 16]	13
8	[0, 127]	[3, 3]	[3, 130]	12
8	[1, 1]	[0, 255]	[1, 255]	11
8	[0, 7]	[1, 1]	[1, 8]	11
8	[1, 255]	[1, 1]	[2, 255]	11
8	[8, 127]	[8, 8]	[16, 135]	11
8	[32, 64]	[64, 64]	[96, 128]	11
8	[0, 252]	[3, 3]	[3, 255]	11
8	[0, 1]	[0, 254]	[0, 255]	11
8	[4, 4]	[127, 127]	[131, 131]	11
8	[0, 31]	[127, 127]	[127, 158]	11
8	[0, 127]	[8, 8]	[8, 135]	11
8	[1, 1]	[0, 253]	[1, 254]	10
8	[8, 72]	[72, 72]	[80, 144]	10
8	[0, 255]	[2, 2]	[2, 255]	10
8	[0, 190]	[1, 1]	[1, 191]	10
8	[100, 127]	[0, 7]	[100, 134]	10
8	[0, 127]	[0, 31]	[0, 158]	10
8	[0, 1]	[0, 158]	[0, 159]	10
8	[0, 126]	[26, 26]	[26, 152]	9
8	[0, 7]	[127, 127]	[127, 134]	9
8	[0, 126]	[4, 4]	[4, 130]	9
8	[0, 127]	[0, 127]	[0, 254]	9
8	[16, 136]	[8, 8]	[24, 144]	8
8	[72, 128]	[8, 8]	[80, 136]	8
8	[3, 3]	[0, 252]	[3, 255]	8
8	[0, 31]	[112, 112]	[112, 143]	8
8	[0, 255]	[64, 64]	[64, 255]	7
8	[2, 2]	[127, 127]	[129, 129]	7
8	[0, 1]	[0, 1]	[0, 2]	7
8	[0, 2]	[0, 1]	[0, 3]	7
8	[0, 3]	[0, 1]	[0, 4]	7
8	[0, 124]	[4, 4]	[4, 128]	7
8	[1, 63]	[0, 126]	[1, 189]	7
8	[0, 128]	[1, 1]	[1, 129]	6
8	[1, 1]	[0, 1]	[1, 2]	6
8	[1, 2]	[0, 1]	[1, 3]	6
8	[64, 128]	[32, 32]	[96, 160]	6
8	[64, 64]	[8, 8]	[72, 72]	6
8	[8, 127]	[64, 64]	[72, 191]	6
8	[72, 72]	[8, 72]	[80, 144]	6
8	[64, 64]	[0, 127]	[64, 191]	6
8	[0, 255]	[4, 4]	[4, 255]	6
8	[127, 127]	[0, 127]	[127, 254]	6
8	[0, 127]	[7, 7]	[7, 134]	6
8	[0, 127]	[6, 6]	[6, 133]	6
8	[96, 127]	[8, 8]	[104, 135]	6
8	[0, 8]	[1, 1]	[1, 9]	5
8	[0, 204]	[0, 1]	[0, 205]	5
8	[65, 70]	[73, 73]	[138, 143]	5
8	[97, 102]	[41, 41]	[138, 143]	5
8	[0, 5]	[1, 1]	[1, 6]	5
8	[0, 255]	[127, 127]	[127, 255]	5
8	[0, 15]	[1, 1]	[1, 16]	5
8	[24, 144]	[8, 8]	[32, 152]	5
8	[8, 144]	[8, 8]	[16, 152]	5
8	[0, 15]	[0, 120]	[0, 135]	5
8	[18, 18]	[0, 4]	[18, 22]	4
8	[18, 22]	[0, 12]	[18, 34]	4
8	[0, 127]	[0, 1]	[0, 128]	4
8	[0, 127]	[18, 18]	[18, 145]	4
8	[127, 127]	[0, 63]	[127, 190]	4
8	[0, 255]	[33, 33]	[33, 255]	4
8	[1, 1]	[0, 128]	[1, 129]	4
8	[0, 4]	[1, 1]	[1, 5]	4
8	[16, 136]	[64, 64]	[80, 200]	4
8	[8, 136]	[64, 64]	[72, 200]	4
8	[72, 136]	[8, 8]	[80, 144]	4
8	[8, 144]	[64, 64]	[72, 208]	4
8	[8, 8]	[16, 16]	[24, 24]	4
8	[20, 243]	[13, 13]	[33, 255]	4
8	[0, 7]	[16, 16]	[16, 23]	4
8	[96, 255]	[32, 32]	[128, 255]	4
8	[0, 255]	[126, 126]	[126, 255]	4
8	[0, 96]	[0, 32]	[0, 128]	4
8	[126, 126]	[0, 31]	[126, 157]	4
8	[127, 127]	[0, 31]	[127, 158]	4
8	[100, 107]	[0, 31]	[100, 138]	4
8	[0, 1]	[0, 4]	[0, 5]	4
8	[0, 5]	[0, 2]	[0, 7]	4
8	[4, 4]	[24, 223]	[28, 227]	4
8	[3, 3]	[24, 223]	[27, 226]	4
8	[2, 2]	[24, 223]	[26, 225]	4
8	[1, 1]	[24, 223]	[25, 224]	4
8	[28, 28]	[24, 223]	[52, 251]	4
8	[27, 27]	[24, 223]	[51, 250]	4
8	[26, 26]	[24, 223]	[50, 249]	4
8	[1, 189]	[4, 4]	[5, 193]	4
8	[0, 9]	[0, 240]	[0, 249]	3
8	[0, 60]	[71, 71]	[71, 131]	3
8	[0, 254]	[0, 1]	[0, 255]	3
8	[0, 128]	[127, 127]	[127, 255]	3
8	[0, 7]	[124, 124]	[124, 131]	3
8	[32, 32]	[64, 64]	[96, 96]	3
8	[32, 152]	[64, 64]	[96, 216]	3
8	[8, 152]	[64, 64]	[72, 216]	3
8	[16, 127]	[8, 8]	[24, 135]	3
8	[0, 255]	[3, 3]	[3, 255]	3
8	[0, 6]	[1, 1]	[1, 7]	3
8	[0, 255]	[0, 207]	[0, 255]	3
8	[1, 1]	[0, 247]	[1, 248]	3
8	[8, 8]	[0, 247]	[8, 255]	3
8	[8, 8]	[0, 255]	[8, 255]	3
8	[2, 2]	[0, 247]	[2, 249]	3
8	[2, 2]	[0, 255]	[2, 255]	3
8	[3, 3]	[0, 247]	[3, 250]	3
8	[3, 3]	[0, 255]	[3, 255]	3
8	[4, 4]	[0, 247]	[4, 251]	3
8	[4, 4]	[0, 255]	[4, 255]	3
