# ---
# domain: UConstRange
# op: And
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [1, 9]
# - [3, 2]
# - [4, 4]
# - [5, 2]
# - [7, 1]
# - [8, 2730]
# - [9, 7]
# - [11, 2]
# - [16, 4016]
# - [24, 304]
# - [29, 1]
# - [32, 35267]
# - [40, 149]
# - [48, 92]
# - [56, 42]
# - [64, 26801]
# - [80, 33]
# - [120, 38]
# - [128, 674]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
1	[0, 1]	[0, 1]	[0, 1]	144064
1	[1, 1]	[0, 1]	[0, 1]	11986
1	[1, 1]	[1, 1]	[1, 1]	9223
1	[0, 1]	[1, 1]	[0, 1]	8532
1	[0, 0]	[0, 1]	[0, 0]	5738
1	[0, 1]	[0, 0]	[0, 0]	3914
1	[0, 0]	[0, 0]	[0, 0]	1672
1	[0, 0]	[1, 1]	[0, 0]	1635
1	[1, 1]	[0, 0]	[0, 0]	778
3	[0, 7]	[3, 3]	[0, 3]	4
3	[0, 7]	[5, 5]	[0, 5]	2
4	[0, 15]	[1, 1]	[0, 1]	22
4	[0, 15]	[5, 5]	[0, 5]	20
4	[0, 15]	[3, 3]	[0, 3]	3
4	[0, 15]	[7, 7]	[0, 7]	2
5	[0, 31]	[17, 17]	[0, 17]	1
5	[0, 31]	[3, 3]	[0, 3]	1
7	[0, 127]	[3, 3]	[0, 3]	2
8	[0, 255]	[1, 1]	[0, 1]	409359
8	[0, 255]	[63, 63]	[0, 63]	156718
8	[0, 255]	[7, 7]	[0, 7]	139443
8	[0, 255]	[254, 254]	[0, 254]	92281
8	[0, 255]	[2, 2]	[0, 2]	61449
8	[0, 255]	[15, 15]	[0, 15]	53260
8	[0, 255]	[127, 127]	[0, 127]	25686
8	[0, 255]	[253, 253]	[0, 253]	24688
8	[128, 255]	[31, 31]	[0, 31]	23713
8	[0, 255]	[4, 4]	[0, 4]	23002
8	[0, 255]	[8, 8]	[0, 8]	22601
8	[0, 255]	[252, 252]	[0, 252]	20724
8	[0, 255]	[223, 223]	[0, 223]	20484
8	[0, 255]	[3, 3]	[0, 3]	18518
8	[0, 255]	[16, 16]	[0, 16]	16469
8	[128, 191]	[63, 63]	[0, 63]	14402
8	[0, 255]	[31, 31]	[0, 31]	12866
8	[0, 63]	[48, 48]	[0, 48]	10310
8	[0, 15]	[12, 12]	[0, 12]	10250
8	[0, 127]	[1, 1]	[0, 1]	8943
8	[0, 255]	[32, 32]	[0, 32]	6961
8	[128, 255]	[63, 63]	[0, 63]	6775
8	[0, 255]	[0, 255]	[0, 255]	6319
8	[0, 255]	[127, 254]	[0, 254]	6289
8	[0, 1]	[1, 1]	[0, 1]	5865
8	[0, 15]	[7, 7]	[0, 7]	5855
8	[0, 255]	[248, 248]	[0, 248]	5273
8	[0, 255]	[240, 240]	[0, 240]	5231
8	[0, 255]	[251, 251]	[0, 251]	5222
8	[0, 255]	[64, 64]	[0, 64]	5163
8	[0, 31]	[1, 1]	[0, 1]	5125
8	[128, 255]	[1, 1]	[0, 1]	4700
8	[0, 255]	[239, 239]	[0, 239]	4658
8	[0, 255]	[6, 6]	[0, 6]	4459
8	[128, 255]	[127, 127]	[0, 127]	4262
8	[0, 63]	[1, 1]	[0, 1]	3842
8	[0, 255]	[12, 12]	[0, 12]	3673
8	[1, 128]	[0, 255]	[0, 128]	3520
8	[0, 255]	[96, 96]	[0, 96]	3486
8	[0, 255]	[224, 224]	[0, 224]	3011
8	[0, 255]	[247, 247]	[0, 247]	2812
8	[0, 63]	[62, 62]	[0, 62]	2671
8	[0, 255]	[128, 128]	[0, 128]	2670
8	[1, 1]	[7, 7]	[1, 1]	2642
8	[1, 2]	[7, 7]	[1, 2]	2589
8	[1, 3]	[7, 7]	[1, 3]	2580
8	[0, 254]	[6, 6]	[0, 6]	2405
8	[1, 255]	[7, 7]	[0, 7]	2385
8	[0, 255]	[192, 192]	[0, 192]	2290
8	[0, 255]	[5, 5]	[0, 5]	2191
8	[0, 15]	[1, 1]	[0, 1]	2106
8	[144, 159]	[15, 15]	[0, 15]	2045
8	[128, 143]	[15, 15]	[0, 15]	2034
8	[160, 223]	[31, 31]	[0, 31]	1994
8	[0, 63]	[3, 3]	[0, 3]	1965
8	[0, 255]	[1, 128]	[0, 128]	1916
8	[0, 255]	[249, 249]	[0, 249]	1824
8	[0, 2]	[1, 1]	[0, 1]	1781
8	[0, 127]	[15, 15]	[0, 15]	1714
8	[7, 7]	[7, 7]	[7, 7]	1681
8	[0, 3]	[1, 1]	[0, 1]	1607
8	[0, 254]	[2, 2]	[0, 2]	1499
8	[0, 7]	[1, 1]	[0, 1]	1470
8	[0, 255]	[14, 14]	[0, 14]	1430
8	[0, 0]	[1, 1]	[0, 0]	1419
8	[0, 255]	[24, 24]	[0, 24]	1377
8	[0, 21]	[30, 30]	[0, 20]	1344
8	[1, 255]	[223, 223]	[0, 223]	1311
8	[0, 1]	[0, 1]	[0, 1]	1239
8	[2, 2]	[1, 1]	[0, 0]	1229
8	[0, 7]	[6, 6]	[0, 6]	1219
8	[0, 255]	[48, 48]	[0, 48]	1212
8	[0, 31]	[3, 3]	[0, 3]	1187
8	[0, 31]	[7, 7]	[0, 7]	1096
8	[2, 255]	[4, 4]	[0, 4]	1061
8	[0, 127]	[63, 63]	[0, 63]	1054
8	[0, 254]	[253, 253]	[0, 253]	1040
8	[0, 7]	[3, 3]	[0, 3]	921
8	[0, 15]	[3, 3]	[0, 3]	877
8	[1, 255]	[1, 255]	[0, 255]	858
8	[0, 255]	[112, 112]	[0, 112]	839
8	[0, 254]	[1, 255]	[0, 254]	824
8	[2, 255]	[8, 8]	[0, 8]	813
8	[0, 5]	[6, 6]	[0, 4]	785
8	[0, 255]	[222, 222]	[0, 222]	676
8	[0, 248]	[32, 32]	[0, 32]	668
8	[4, 255]	[1, 1]	[0, 1]	655
8	[0, 255]	[250, 250]	[0, 250]	624
8	[0, 254]	[126, 126]	[0, 126]	618
8	[0, 127]	[3, 3]	[0, 3]	602
8	[0, 255]	[191, 191]	[0, 191]	546
8	[0, 1]	[0, 255]	[0, 1]	546
8	[0, 127]	[7, 7]	[0, 7]	530
8	[1, 255]	[1, 1]	[0, 1]	516
8	[0, 255]	[243, 243]	[0, 243]	450
8	[48, 57]	[15, 15]	[0, 9]	445
8	[0, 253]	[1, 1]	[0, 1]	439
8	[0, 255]	[63, 252]	[0, 252]	432
8	[0, 248]	[120, 120]	[0, 120]	416
8	[0, 0]	[7, 7]	[0, 0]	414
8	[0, 127]	[2, 2]	[0, 2]	412
8	[0, 252]	[60, 60]	[0, 60]	402
8	[0, 127]	[31, 31]	[0, 31]	366
8	[4, 7]	[3, 3]	[0, 3]	357
8	[0, 23]	[30, 30]	[0, 22]	345
8	[0, 255]	[33, 33]	[0, 33]	345
8	[16, 31]	[3, 3]	[0, 3]	345
8	[0, 251]	[247, 247]	[0, 247]	344
8	[64, 127]	[3, 3]	[0, 3]	341
8	[0, 253]	[251, 251]	[0, 251]	326
8	[0, 251]	[8, 8]	[0, 8]	317
8	[0, 240]	[48, 48]	[0, 48]	308
8	[0, 11]	[14, 14]	[0, 10]	304
8	[0, 253]	[4, 4]	[0, 4]	300
8	[0, 31]	[15, 15]	[0, 15]	297
8	[0, 17]	[239, 239]	[0, 15]	297
8	[0, 247]	[16, 16]	[0, 16]	295
8	[0, 27]	[30, 30]	[0, 26]	290
8	[1, 255]	[251, 251]	[0, 251]	289
8	[1, 1]	[1, 1]	[1, 1]	288
8	[0, 255]	[159, 159]	[0, 159]	282
8	[0, 254]	[249, 249]	[0, 249]	280
8	[129, 255]	[127, 127]	[1, 127]	270
8	[0, 252]	[4, 4]	[0, 4]	264
8	[0, 254]	[16, 16]	[0, 16]	257
8	[0, 255]	[1, 255]	[0, 255]	256
8	[0, 255]	[207, 207]	[0, 207]	254
8	[0, 63]	[7, 7]	[0, 7]	250
8	[0, 255]	[126, 126]	[0, 126]	247
8	[0, 255]	[0, 1]	[0, 1]	240
8	[0, 4]	[6, 6]	[0, 4]	228
8	[1, 1]	[0, 255]	[0, 1]	226
8	[192, 253]	[63, 63]	[0, 61]	224
8	[0, 248]	[8, 8]	[0, 8]	217
8	[1, 255]	[2, 2]	[0, 2]	211
8	[0, 255]	[95, 95]	[0, 95]	208
8	[0, 255]	[28, 28]	[0, 28]	207
8	[1, 255]	[15, 15]	[0, 15]	203
8	[0, 255]	[30, 30]	[0, 30]	201
8	[3, 251]	[8, 8]	[0, 8]	199
