# ---
# domain: UConstRange
# op: Ashr
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 48]
# - [16, 67]
# - [32, 3801]
# - [64, 1763]
# - [128, 44]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 255]	[7, 7]	[0, 255]	2987
8	[0, 255]	[1, 1]	[0, 255]	445
8	[0, 255]	[4, 4]	[0, 255]	399
8	[1, 255]	[1, 1]	[0, 255]	206
8	[0, 254]	[7, 7]	[0, 255]	114
8	[1, 255]	[3, 3]	[0, 255]	87
8	[0, 255]	[0, 7]	[0, 255]	78
8	[0, 192]	[7, 7]	[0, 255]	53
8	[0, 128]	[7, 7]	[0, 255]	43
8	[2, 255]	[1, 1]	[1, 255]	34
8	[0, 240]	[7, 7]	[0, 255]	30
8	[0, 255]	[2, 2]	[0, 255]	24
8	[0, 252]	[7, 7]	[0, 255]	24
8	[0, 240]	[6, 6]	[0, 255]	20
8	[0, 224]	[5, 5]	[0, 255]	19
8	[0, 192]	[6, 6]	[0, 255]	19
8	[2, 129]	[1, 1]	[1, 192]	11
8	[0, 224]	[6, 6]	[0, 255]	10
8	[0, 252]	[6, 6]	[0, 255]	10
8	[0, 252]	[5, 5]	[0, 255]	8
8	[0, 255]	[6, 6]	[0, 255]	8
8	[0, 255]	[3, 3]	[0, 255]	7
8	[0, 248]	[7, 7]	[0, 255]	6
8	[4, 131]	[2, 2]	[1, 224]	6
8	[128, 255]	[6, 6]	[254, 255]	5
8	[0, 224]	[7, 7]	[0, 255]	4
8	[1, 255]	[7, 7]	[0, 255]	4
8	[2, 3]	[1, 1]	[1, 1]	4
8	[24, 24]	[7, 7]	[0, 0]	4
8	[0, 254]	[1, 1]	[0, 255]	3
8	[0, 240]	[4, 4]	[0, 255]	3
8	[0, 248]	[3, 3]	[0, 255]	3
8	[4, 255]	[2, 2]	[1, 255]	3
8	[64, 252]	[7, 7]	[0, 255]	2
8	[255, 255]	[7, 7]	[255, 255]	2
8	[0, 2]	[1, 1]	[0, 1]	2
