# ---
# domain: UConstRange
# op: CountLZeroUndef
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [8, 2]
# - [16, 9]
# - [32, 227]
# - [64, 311]
# - [128, 2]
# hbw: []
# ---
bw	arg_0	ideal	count
8	[1, 255]	[0, 7]	26
8	[0, 255]	[0, 7]	22
16	[1, 65535]	[0, 15]	53
16	[0, 255]	[8, 15]	23
16	[0, 65535]	[0, 15]	15
16	[1, 960]	[6, 15]	14
16	[1, 255]	[8, 15]	5
16	[1, 1]	[15, 15]	4
16	[1, 2]	[14, 15]	2
16	[1, 128]	[8, 15]	1
16	[1, 32768]	[0, 15]	1
32	[1, 4294967295]	[0, 31]	42672
32	[0, 4294967295]	[0, 31]	11940
32	[1, 8388607]	[9, 31]	6563
32	[1, 2147483647]	[1, 31]	1615
32	[1, 255]	[24, 31]	1390
32	[1, 4294967289]	[0, 31]	1244
32	[0, 15]	[28, 31]	718
32	[1, 2147483649]	[0, 31]	604
32	[64, 2047]	[21, 25]	466
32	[4, 127]	[25, 29]	460
32	[1, 16383]	[18, 31]	453
32	[0, 1]	[31, 31]	372
32	[256, 4294967294]	[0, 23]	368
32	[1, 1025]	[21, 31]	364
32	[2, 15]	[28, 30]	359
32	[1, 16385]	[17, 31]	358
32	[1, 16389]	[17, 31]	358
32	[1, 65535]	[16, 31]	347
32	[0, 65535]	[16, 31]	333
32	[0, 255]	[24, 31]	253
32	[0, 268427264]	[4, 31]	187
32	[3, 4294967295]	[0, 30]	152
32	[1, 4294967294]	[0, 31]	136
32	[1, 4294967292]	[0, 31]	113
32	[64, 4294967295]	[0, 25]	88
32	[0, 127]	[25, 31]	80
32	[0, 2147483647]	[1, 31]	69
32	[8, 4294967294]	[0, 28]	68
32	[128, 4294967295]	[0, 24]	64
32	[0, 4294967294]	[0, 31]	62
32	[3, 3]	[30, 30]	60
32	[4, 63]	[26, 29]	56
32	[511, 2147483646]	[1, 23]	54
32	[1, 1]	[31, 31]	51
32	[8, 2147483647]	[1, 28]	51
32	[1, 16777216]	[7, 31]	44
32	[16, 2147483647]	[1, 27]	39
32	[3, 5]	[29, 30]	38
32	[2, 2097151]	[11, 30]	36
32	[64, 65535]	[16, 25]	27
32	[8, 1073741823]	[2, 28]	26
32	[1, 2]	[30, 31]	24
32	[60, 2147483646]	[1, 26]	24
32	[1, 65534]	[16, 31]	24
32	[128, 65535]	[16, 24]	23
32	[1, 3]	[30, 31]	22
32	[1, 16]	[27, 31]	22
32	[2, 2147483646]	[1, 30]	20
32	[1, 1114111]	[11, 31]	20
32	[1, 2147483648]	[0, 31]	20
32	[1, 1023]	[22, 31]	20
32	[4095, 4294967294]	[0, 20]	20
32	[0, 260038656]	[4, 31]	19
32	[4, 23]	[27, 29]	16
32	[255, 32767]	[17, 24]	16
32	[65536, 4294901760]	[0, 15]	16
32	[3, 4294967291]	[0, 30]	16
32	[0, 16777215]	[8, 31]	15
32	[511, 65534]	[16, 23]	15
32	[15, 4294967294]	[0, 28]	14
32	[2, 62]	[26, 30]	13
32	[2, 2147483647]	[1, 30]	13
32	[2, 4294967295]	[0, 30]	12
32	[1, 2047]	[21, 31]	12
32	[48, 617]	[22, 26]	12
32	[40, 633]	[22, 26]	12
32	[56, 1737]	[21, 26]	12
32	[2, 2]	[30, 30]	11
32	[0, 536862720]	[3, 31]	11
32	[1024, 2147483647]	[1, 21]	11
32	[5, 4294967295]	[0, 29]	10
32	[1, 8]	[28, 31]	10
32	[2, 32767]	[17, 30]	9
32	[0, 0]	(bottom)	9
32	[2, 1048575]	[12, 30]	9
32	[1, 4294967293]	[0, 31]	9
32	[131072, 4294967295]	[0, 14]	9
32	[1, 524287]	[13, 31]	9
32	[2, 2147483648]	[0, 30]	9
32	[1, 2097151]	[11, 31]	9
32	[0, 8388607]	[9, 31]	9
32	[16, 65536]	[15, 27]	9
32	[2, 4]	[29, 30]	8
32	[4, 13]	[28, 29]	8
32	[15, 4294967293]	[0, 28]	8
32	[11, 2147483647]	[1, 28]	8
32	[0, 8380416]	[9, 31]	8
32	[0, 8388480]	[9, 31]	8
32	[0, 65534]	[16, 31]	8
32	[1, 536870911]	[3, 31]	8
32	[9, 9]	[28, 28]	7
32	[64, 4294967294]	[0, 25]	7
32	[1, 4294966272]	[0, 31]	7
32	[1, 4294963200]	[0, 31]	7
32	[0, 32768]	[16, 31]	6
32	[128, 4294967292]	[0, 24]	6
32	[1, 4]	[29, 31]	6
32	[0, 4294967293]	[0, 31]	6
32	[256, 2147483647]	[1, 23]	6
32	[8, 2147483556]	[1, 28]	6
32	[5, 32767]	[17, 29]	6
32	[8, 361]	[23, 28]	6
32	[5, 2147483649]	[0, 29]	6
32	[5, 5]	[29, 29]	6
32	[4097, 2147483647]	[1, 19]	6
32	[32768, 32768]	[16, 16]	6
32	[32768, 4294967295]	[0, 16]	6
32	[1, 2147483645]	[1, 31]	6
32	[1, 429496729]	[3, 31]	6
32	[1, 4095]	[20, 31]	6
32	[1, 11]	[28, 31]	5
