# ---
# domain: UConstRange
# op: CountRZero
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [2, 1]
# - [8, 3]
# - [16, 4]
# - [32, 24]
# - [64, 47]
# - [128, 4]
# hbw: []
# ---
bw	arg_0	ideal	count
2	[0, 3]	[0, 2]	2
8	[0, 255]	[0, 8]	86
8	[0, 127]	[0, 8]	1
8	[0, 128]	[0, 8]	1
16	[0, 65535]	[0, 16]	8904
16	[1, 65535]	[0, 15]	218
16	[0, 32767]	[0, 16]	1
16	[0, 32768]	[0, 16]	1
32	[0, 4294967295]	[0, 32]	1958
32	[1, 4294967295]	[0, 31]	168
32	[0, 4294967294]	[0, 32]	24
32	[0, 536870911]	[0, 32]	21
32	[0, 268435456]	[0, 32]	19
32	[1, 65535]	[0, 15]	17
32	[0, 65535]	[0, 32]	6
32	[4294967295, 4294967295]	[0, 0]	6
32	[4294967040, 4294967295]	[0, 8]	6
32	[0, 2147483648]	[0, 32]	5
32	[2147483648, 4294967295]	[0, 31]	4
32	[1, 2147483648]	[0, 31]	4
32	[8, 4294967295]	[0, 31]	4
32	[0, 255]	[0, 32]	3
32	[0, 2147483647]	[0, 32]	3
32	[4294901760, 4294967295]	[0, 16]	1
32	[0, 16777215]	[0, 32]	1
32	[4278190080, 4294967295]	[0, 24]	1
32	[0, 12]	[0, 32]	1
32	[0, 14]	[0, 32]	1
32	[0, 64]	[0, 32]	1
32	[3, 3]	[0, 0]	1
32	[3, 4]	[0, 2]	1
32	[3, 5]	[0, 2]	1
64	[0, 18446744073709551615]	[0, 64]	4618
64	[1, 18446744073709551615]	[0, 63]	573
64	[0, 18446744073709551614]	[0, 64]	340
64	[3689348814741910323, 3689348814741910323]	[0, 0]	90
64	[0, 9223372036854775807]	[0, 64]	52
64	[3458764513820540928, 4611686018427387903]	[0, 60]	44
64	[3689348594839584768, 3689349694351212543]	[0, 40]	38
64	[1125899906842624, 2251799813685247]	[0, 50]	27
64	[0, 16777214]	[0, 64]	25
64	[1, 18446744073709551614]	[0, 63]	25
64	[3689348814741897216, 3689348814741962751]	[0, 16]	21
64	[1, 16777215]	[0, 23]	12
64	[1, 9223372036854775808]	[0, 63]	9
64	[1, 9223372036854775807]	[0, 62]	8
64	[1, 9259542123273814144]	[0, 63]	6
64	[0, 4294967295]	[0, 64]	6
64	[0, 11529215046068469758]	[0, 64]	6
64	[9223372036854775808, 18446744073709551615]	[0, 63]	6
64	[3689348814741910272, 3689348814741910527]	[0, 8]	4
64	[9223372036854775807, 18446744073709551615]	[0, 63]	4
64	[8, 18446744073709551615]	[0, 63]	4
64	[2, 18446744073709551614]	[0, 63]	4
64	[3689348814738554880, 3689348814755332095]	[0, 24]	3
64	[3689348813882916864, 3689348818177884159]	[0, 32]	3
64	[0, 65535]	[0, 64]	3
64	[0, 2305843009213693951]	[0, 64]	3
64	[0, 18446744073709551608]	[0, 64]	3
64	[2, 18446744073709551615]	[0, 63]	2
64	[2, 512]	[0, 9]	2
64	[0, 65536]	[0, 64]	2
64	[128, 18446744073709551487]	[0, 63]	2
64	[18446744069414584320, 18446744073709551615]	[0, 32]	2
64	[2147483648, 18446744071562067967]	[0, 63]	2
64	[18446744069414584321, 18446744073709551615]	[0, 31]	2
64	[18446744073709486081, 18446744073709551615]	[0, 15]	2
64	[18446744073709551361, 18446744073709551615]	[0, 7]	2
64	[256, 256]	[8, 8]	1
64	[0, 9223372036854775808]	[0, 64]	1
64	[1, 65536]	[0, 16]	1
64	[1, 17723342345328784884]	[0, 63]	1
64	[2, 9223372036854775808]	[0, 63]	1
64	[18446462598732840960, 18446744073709551615]	[0, 48]	1
64	[65535, 18446744073709551615]	[0, 63]	1
64	[18446744073709551614, 18446744073709551615]	[0, 1]	1
64	[0, 18446744071562067968]	[0, 64]	1
64	[65536, 18446744073709551615]	[0, 63]	1
64	[1, 15]	[0, 3]	1
128	[0, 340282366920938463463374607431768211455]	[0, 128]	78
128	[1, 340282366920938463463374607431768211455]	[0, 127]	1
128	[0, 170141183460469231731687303715884105727]	[0, 128]	1
128	[0, 170141183460469231731687303715884105728]	[0, 128]	1
