# ---
# domain: UConstRange
# op: CountRZeroUndef
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [4, 1]
# - [8, 12]
# - [16, 20]
# - [32, 166]
# - [64, 146]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	ideal	count
4	[1, 15]	[0, 3]	6
8	[0, 255]	[0, 7]	280
8	[1, 128]	[0, 7]	140
8	[1, 16]	[0, 4]	80
8	[1, 4]	[0, 2]	63
8	[1, 1]	[0, 0]	35
8	[1, 255]	[0, 7]	11
8	[64, 255]	[0, 7]	9
8	[8, 8]	[3, 3]	6
8	[1, 64]	[0, 6]	3
8	[1, 8]	[0, 3]	3
8	[8, 16]	[0, 4]	3
8	[1, 2]	[0, 1]	1
16	[1, 65535]	[0, 15]	230394
16	[0, 65535]	[0, 15]	23173
16	[1, 65534]	[0, 15]	1207
16	[1, 16383]	[0, 13]	204
16	[1, 32768]	[0, 15]	161
16	[1, 4095]	[0, 11]	82
16	[1, 255]	[0, 7]	9
16	[65534, 65534]	[1, 1]	6
16	[16, 64]	[0, 6]	5
16	[0, 255]	[0, 7]	4
16	[1, 15]	[0, 3]	3
16	[1, 16384]	[0, 14]	3
16	[32, 32768]	[0, 15]	3
16	[8, 64]	[0, 6]	3
16	[32, 64]	[0, 6]	3
16	[0, 15]	[0, 3]	2
16	[1, 32767]	[0, 14]	2
16	[0, 32768]	[0, 15]	1
16	[1, 4096]	[0, 12]	1
16	[0, 65528]	[0, 15]	1
32	[1, 4294967295]	[0, 31]	6836
32	[0, 4294967295]	[0, 31]	3804
32	[1, 2147483648]	[0, 31]	2938
32	[1, 65536]	[0, 16]	1524
32	[1, 65535]	[0, 15]	1319
32	[0, 255]	[0, 7]	499
32	[1, 16383]	[0, 13]	499
32	[0, 65535]	[0, 15]	484
32	[1, 32767]	[0, 14]	424
32	[1, 4294967294]	[0, 31]	387
32	[1, 4095]	[0, 11]	357
32	[1, 255]	[0, 7]	253
32	[0, 1008]	[0, 9]	242
32	[2, 33554430]	[0, 24]	234
32	[1, 16]	[0, 4]	197
32	[1, 2147483647]	[0, 30]	195
32	[4096, 2147483648]	[0, 31]	194
32	[128, 42949887]	[0, 25]	156
32	[128, 429496831]	[0, 28]	156
32	[4294901760, 4294967295]	[0, 16]	131
32	[0, 4095]	[0, 11]	112
32	[1, 65520]	[0, 15]	108
32	[1, 1008]	[0, 9]	98
32	[0, 16383]	[0, 13]	96
32	[1, 131072]	[0, 17]	87
32	[16777216, 33554430]	[0, 24]	78
32	[1, 1]	[0, 0]	70
32	[1, 2]	[0, 1]	65
32	[0, 4294967294]	[0, 31]	65
32	[2147483648, 4294967295]	[0, 31]	58
32	[1, 49135]	[0, 15]	51
32	[1, 8]	[0, 3]	37
32	[1, 16777215]	[0, 23]	36
32	[1, 61440]	[0, 15]	32
32	[0, 2147483647]	[0, 30]	30
32	[0, 16777215]	[0, 23]	30
32	[0, 4294967288]	[0, 31]	28
32	[4096, 2147483647]	[0, 30]	24
32	[1, 4294901760]	[0, 31]	24
32	[1, 4]	[0, 2]	22
32	[4096, 4294967295]	[0, 31]	18
32	(bottom)	(bottom)	18
32	[1, 64]	[0, 6]	17
32	[1, 65519]	[0, 15]	16
32	[1, 15]	[0, 3]	15
32	[0, 61440]	[0, 15]	14
32	[1, 127]	[0, 6]	14
32	[0, 15]	[0, 3]	13
32	[1, 2147483646]	[0, 30]	12
32	[1, 1073741823]	[0, 29]	11
32	[9, 2147483647]	[0, 30]	10
32	[0, 4294967280]	[0, 31]	10
32	[1, 32]	[0, 5]	9
32	[0, 127]	[0, 6]	9
32	[0, 4294901760]	[0, 31]	9
32	[0, 16]	[0, 4]	9
32	[655, 659]	[0, 4]	8
32	[0, 30719]	[0, 14]	8
32	[16, 8192]	[0, 13]	8
32	[2, 36]	[0, 5]	8
32	[0, 4294966271]	[0, 31]	8
32	[0, 2147483648]	[0, 31]	7
32	[1, 32768]	[0, 15]	7
32	[2, 2147483647]	[0, 30]	7
32	[16, 64]	[0, 6]	7
