# ---
# domain: UConstRange
# op: Mods
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 29]
# - [16, 63]
# - [32, 2059]
# - [64, 609]
# - [128, 26]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 255]	[1, 254]	[0, 255]	254
8	[0, 255]	[12, 12]	[0, 255]	127
8	[0, 255]	[24, 24]	[0, 255]	51
8	[0, 255]	[32, 32]	[0, 255]	32
8	[0, 255]	[10, 10]	[0, 255]	27
8	[0, 255]	[3, 3]	[0, 255]	20
8	[128, 128]	[1, 254]	[0, 255]	17
8	[0, 255]	[7, 7]	[0, 255]	15
8	[0, 255]	[4, 4]	[0, 255]	14
8	[0, 255]	[8, 8]	[0, 255]	11
8	[128, 128]	[0, 255]	[0, 255]	11
8	[1, 255]	[8, 8]	[0, 255]	7
8	[1, 8]	[8, 8]	[0, 7]	4
8	[1, 9]	[8, 8]	[0, 7]	4
8	[1, 10]	[8, 8]	[0, 7]	4
8	[0, 127]	[0, 255]	[0, 127]	3
8	[0, 0]	[5, 5]	[0, 0]	2
8	[0, 1]	[5, 5]	[0, 1]	2
8	[0, 2]	[5, 5]	[0, 2]	2
8	[1, 4]	[3, 3]	[0, 2]	2
8	[2, 5]	[3, 3]	[0, 2]	2
8	[0, 4]	[3, 3]	[0, 2]	2
8	[1, 5]	[3, 3]	[0, 2]	2
8	[0, 5]	[3, 3]	[0, 2]	2
8	[1, 255]	[3, 3]	[0, 255]	2
8	[0, 255]	[2, 2]	[0, 255]	2
8	[1, 3]	[3, 3]	[0, 2]	1
8	[0, 59]	[10, 10]	[0, 9]	1
8	[0, 0]	[2, 2]	[0, 0]	1
16	[0, 65535]	[25, 25]	[0, 65535]	465
16	[0, 65532]	[100, 100]	[0, 65535]	258
16	[0, 65532]	[400, 400]	[0, 65535]	258
16	[0, 65535]	[1, 65534]	[0, 65535]	196
16	[0, 65535]	[100, 100]	[0, 65535]	84
16	[0, 65535]	[8, 8]	[0, 65535]	82
16	[0, 65535]	[400, 400]	[0, 65535]	68
16	[0, 65535]	[4, 4]	[0, 65535]	19
16	[0, 65535]	[4, 16]	[0, 65535]	19
16	[32768, 32768]	[1, 65534]	[0, 65535]	17
16	[0, 65535]	[1000, 1000]	[0, 65535]	12
16	[0, 3]	[3, 3]	[0, 2]	12
16	[1, 4]	[3, 3]	[0, 2]	12
16	[32768, 32768]	[0, 65535]	[0, 65535]	11
16	[2, 2]	[3, 3]	[2, 2]	11
16	[3, 3]	[3, 3]	[0, 0]	9
16	[1, 1]	[3, 3]	[1, 1]	8
16	[0, 65535]	[5, 5]	[0, 65535]	7
16	[0, 65535]	[0, 65535]	[0, 65535]	6
16	[4, 4]	[3, 3]	[1, 1]	6
16	[0, 65535]	[60, 60]	[0, 65535]	5
16	[0, 16383]	[8, 8]	[0, 7]	4
16	[0, 37305]	[100, 100]	[0, 65535]	4
16	[0, 37305]	[400, 400]	[0, 65535]	4
