# ---
# domain: UConstRange
# op: Modu
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 249]
# - [16, 522]
# - [32, 2980]
# - [33, 2]
# - [64, 8791]
# - [128, 89]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[100, 255]	[100, 100]	[0, 99]	1031
8	[0, 99]	[10, 10]	[0, 9]	793
8	[10, 99]	[10, 10]	[0, 9]	398
8	[0, 255]	[10, 10]	[0, 9]	333
8	[0, 255]	[1, 255]	[0, 254]	198
8	[0, 255]	[5, 5]	[0, 4]	169
8	[0, 255]	[3, 3]	[0, 2]	162
8	[0, 63]	[10, 10]	[0, 9]	112
8	[0, 59]	[10, 10]	[0, 9]	97
8	[1, 255]	[1, 255]	[0, 254]	94
8	[0, 31]	[10, 10]	[0, 9]	79
8	[0, 199]	[10, 10]	[0, 9]	64
8	[10, 31]	[10, 10]	[0, 9]	61
8	[0, 0]	[3, 3]	[0, 0]	60
8	[0, 255]	[6, 6]	[0, 5]	49
8	[10, 255]	[10, 10]	[0, 9]	37
8	[0, 255]	[8, 8]	[0, 7]	37
8	[0, 9]	[3, 3]	[0, 2]	32
8	[0, 127]	[11, 11]	[0, 10]	30
8	[0, 255]	[0, 255]	[0, 254]	28
8	[0, 1]	[3, 3]	[0, 1]	25
8	[0, 2]	[3, 3]	[0, 2]	25
8	[0, 255]	[100, 100]	[0, 99]	22
8	[0, 255]	[7, 7]	[0, 6]	21
8	[0, 8]	[3, 3]	[0, 2]	21
8	[0, 73]	[10, 10]	[0, 9]	19
8	[0, 74]	[10, 10]	[0, 9]	19
8	[0, 60]	[10, 10]	[0, 9]	18
8	[0, 24]	[5, 5]	[0, 4]	17
8	[0, 25]	[10, 10]	[0, 9]	15
8	[0, 224]	[9, 9]	[0, 8]	14
8	[0, 35]	[6, 6]	[0, 5]	13
8	[0, 255]	[2, 2]	[0, 1]	13
8	[0, 255]	[64, 64]	[0, 63]	12
8	[0, 7]	[2, 2]	[0, 1]	10
8	[0, 29]	[6, 6]	[0, 5]	10
8	[1, 99]	[10, 10]	[0, 9]	9
8	[0, 215]	[6, 6]	[0, 5]	9
8	[0, 255]	[56, 56]	[0, 55]	9
8	[1, 255]	[3, 3]	[0, 2]	9
8	[0, 255]	[128, 128]	[0, 127]	8
8	[0, 255]	[31, 31]	[0, 30]	8
8	[100, 255]	[10, 10]	[0, 9]	8
8	[1, 12]	[3, 3]	[0, 2]	8
8	[0, 255]	[19, 19]	[0, 18]	7
8	[1, 1]	[3, 3]	[1, 1]	7
8	[0, 128]	[3, 3]	[0, 2]	7
8	[0, 0]	[10, 10]	[0, 0]	7
8	[0, 255]	[2, 8]	[0, 7]	7
8	[2, 13]	[3, 3]	[0, 2]	7
8	[100, 128]	[100, 100]	[0, 28]	6
8	[1, 3]	[0, 3]	[0, 2]	6
8	[0, 255]	[20, 20]	[0, 19]	6
8	[1, 9]	[3, 3]	[0, 2]	6
8	[0, 254]	[5, 5]	[0, 4]	6
8	[2, 19]	[3, 3]	[0, 2]	6
8	[1, 18]	[3, 3]	[0, 2]	6
8	[0, 255]	[62, 62]	[0, 61]	6
8	[0, 42]	[10, 10]	[0, 9]	6
8	[14, 25]	[12, 12]	[0, 11]	6
8	[0, 63]	[3, 3]	[0, 2]	6
8	[0, 215]	[36, 36]	[0, 35]	6
8	[0, 55]	[7, 7]	[0, 6]	6
8	[0, 199]	[29, 29]	[0, 28]	6
8	[0, 7]	[3, 3]	[0, 2]	5
8	[0, 29]	[3, 3]	[0, 2]	5
8	[1, 255]	[10, 10]	[0, 9]	5
8	[1, 254]	[17, 17]	[0, 16]	5
8	[1, 254]	[85, 85]	[0, 84]	5
8	[0, 255]	[17, 17]	[0, 16]	5
8	[0, 255]	[85, 85]	[0, 84]	5
8	[0, 0]	[6, 6]	[0, 0]	5
8	[0, 3]	[6, 6]	[0, 3]	5
8	[0, 255]	[15, 15]	[0, 14]	5
