# ---
# domain: UConstRange
# op: MulNsw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 5]
# - [16, 16]
# - [32, 7478]
# - [64, 3409]
# - [128, 30]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 15]	[250, 250]	[0, 250]	37
8	[248, 255]	[3, 3]	[232, 253]	5
8	[128, 255]	[7, 7]	[130, 249]	2
8	[128, 255]	[254, 254]	[2, 126]	1
8	[253, 255]	[254, 254]	[2, 6]	1
16	[0, 510]	[65531, 65531]	[0, 65531]	114
16	[0, 255]	[65529, 65529]	[0, 65529]	96
16	[0, 255]	[65534, 65534]	[0, 65534]	48
16	[0, 255]	[0, 65535]	[0, 65535]	36
16	[0, 65535]	[0, 65535]	[0, 65535]	13
16	[0, 63]	[65529, 65529]	[0, 65529]	9
16	[0, 1937]	[65520, 65520]	[0, 65520]	8
16	[1, 255]	[65518, 65518]	[60946, 65518]	8
16	[65344, 65344]	[3, 3]	[64960, 64960]	6
16	[0, 2805]	[10, 10]	[0, 28050]	4
16	[0, 0]	[0, 0]	[0, 0]	4
16	[0, 0]	[65529, 65529]	[0, 0]	2
16	[0, 0]	[121, 121]	[0, 0]	2
16	[0, 0]	[81, 81]	[0, 0]	2
16	[0, 0]	[11, 11]	[0, 0]	1
16	[0, 0]	[9, 9]	[0, 0]	1
32	[0, 4294967295]	[0, 4294967295]	[0, 4294967295]	98128
32	[0, 4294967295]	[3, 3]	[0, 4294967293]	19203
32	[0, 0]	[0, 4294967295]	[0, 0]	9076
32	[0, 4294967295]	[73856096, 73856096]	[0, 4221111200]	8503
32	[0, 4294967295]	[193649663, 193649663]	[0, 4101317633]	8503
32	[0, 4294967295]	[83492791, 83492791]	[0, 4211474505]	8503
32	[0, 4294967295]	[2, 2]	[0, 4294967294]	8440
32	[2, 2]	[0, 4294967295]	[0, 4294967294]	7459
32	[0, 4294967295]	[4, 4]	[0, 4294967292]	6422
32	[0, 4294967295]	[0, 255]	[0, 4294967295]	6197
32	[0, 4294967295]	[0, 0]	[0, 0]	6113
32	[0, 4294967295]	[10, 10]	[0, 4294967286]	5928
32	[0, 1]	[0, 4294967295]	[0, 4294967295]	5478
32	[0, 4294967295]	[48, 48]	[0, 4294967248]	5432
32	[0, 4294967295]	[0, 65535]	[0, 4294967295]	4434
32	[0, 4294967295]	[1741647, 1741647]	[0, 4293225649]	4267
32	[0, 4294967295]	[6, 6]	[0, 4294967290]	3677
32	[0, 4294967295]	[0, 1]	[0, 4294967295]	3587
32	[0, 4294967295]	[5, 5]	[0, 4294967291]	3227
32	[0, 4294967295]	[12, 12]	[0, 4294967284]	3138
32	[0, 4294967295]	[16, 16]	[0, 4294967280]	2931
32	[0, 4294967295]	[8, 8]	[0, 4294967288]	2899
32	[3, 3]	[0, 4294967295]	[0, 4294967293]	2538
32	[0, 4294967295]	[7, 7]	[0, 4294967289]	2278
32	[0, 0]	[2, 2]	[0, 0]	2197
32	[0, 2047]	[4294867296, 4294867296]	[0, 4294867296]	2174
32	[0, 131070]	[4294967291, 4294967291]	[0, 4294967291]	2039
32	[0, 4294967295]	[64, 64]	[0, 4294967232]	1959
32	[0, 4294967295]	[1, 4294967295]	[0, 4294967295]	1926
32	[0, 4294967295]	[1, 2147483647]	[0, 4294967295]	1802
32	[1, 1]	[0, 4294967295]	[0, 4294967295]	1722
32	[32, 32]	[0, 4294967295]	[0, 4294967264]	1659
32	[0, 1]	[2, 2]	[0, 2]	1655
32	[4, 4]	[0, 4294967295]	[0, 4294967292]	1621
32	[0, 0]	[10, 10]	[0, 0]	1576
32	[0, 4294967295]	[315653, 315653]	[0, 4294651643]	1539
32	[0, 4294967295]	[631305, 631305]	[0, 4294335991]	1517
32	[0, 4294967295]	[1, 1]	[0, 4294967295]	1491
32	[0, 65535]	[0, 4294967295]	[0, 4294967295]	1436
32	[0, 0]	[4, 4]	[0, 0]	1359
32	[2, 2]	[0, 0]	[0, 0]	1322
32	[0, 255]	[0, 4294967295]	[0, 4294967295]	1321
32	[0, 0]	[1, 2147483647]	[0, 0]	1299
32	[2, 2]	[0, 65535]	[0, 131070]	1296
32	[0, 4294967294]	[0, 4294967295]	[0, 4294967295]	1248
32	[1, 2147483647]	[0, 4294967295]	[0, 4294967295]	1188
32	[2, 2]	[0, 1]	[0, 2]	1186
32	[0, 4294967295]	[60, 60]	[0, 4294967236]	1129
32	[0, 2]	[2, 2]	[0, 4]	1059
32	[1, 4294967295]	[0, 4294967295]	[0, 4294967295]	1039
32	[0, 4294967295]	[1000, 1000]	[0, 4294966296]	1015
32	[2, 2]	[16, 2147483647]	[32, 2147483646]	1015
32	[0, 2147483647]	[0, 4294967295]	[0, 4294967295]	964
32	[0, 2]	[4, 4]	[0, 8]	961
32	[0, 4294967295]	[9, 9]	[0, 4294967287]	936
32	[0, 0]	[3, 3]	[0, 0]	932
32	[0, 1]	[4, 4]	[0, 4]	928
32	[0, 4294967295]	[80, 80]	[0, 4294967216]	899
32	[2, 2]	[0, 2]	[0, 4]	898
32	[0, 4294967295]	[0, 2147483647]	[0, 4294967295]	891
