# ---
# domain: UConstRange
# op: MulNuw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 28]
# - [16, 111]
# - [24, 2]
# - [32, 391]
# - [48, 3]
# - [64, 2246]
# - [128, 242]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 15]	[17, 17]	[0, 255]	430
8	[0, 15]	[10, 10]	[0, 150]	120
8	[0, 3]	[85, 85]	[0, 255]	71
8	[2, 6]	[40, 40]	[80, 240]	56
8	[0, 9]	[10, 10]	[0, 90]	36
8	[0, 25]	[10, 10]	[0, 250]	17
8	[0, 31]	[6, 6]	[0, 186]	9
8	[2, 5]	[48, 48]	[96, 240]	8
8	[2, 10]	[24, 24]	[48, 240]	6
8	[0, 255]	[0, 255]	[0, 255]	6
8	[0, 31]	[5, 5]	[0, 155]	4
8	[0, 3]	[69, 69]	[0, 207]	4
8	[0, 63]	[3, 3]	[0, 189]	4
8	[0, 255]	[5, 5]	[0, 255]	3
8	[0, 3]	[48, 48]	[0, 144]	3
8	[0, 23]	[10, 10]	[0, 230]	2
8	[2, 4]	[56, 56]	[112, 224]	2
8	[0, 7]	[28, 28]	[0, 196]	2
8	[0, 255]	[0, 1]	[0, 255]	1
8	[0, 0]	[5, 5]	[0, 0]	1
8	[0, 50]	[5, 5]	[0, 250]	1
8	[1, 4]	[9, 9]	[9, 36]	1
8	[1, 4]	[45, 45]	[45, 180]	1
8	[1, 28]	[9, 9]	[9, 252]	1
8	[0, 5]	[51, 51]	[0, 255]	1
8	[0, 255]	[17, 17]	[0, 255]	1
8	[0, 0]	[85, 85]	[0, 0]	1
8	[0, 10]	[10, 10]	[0, 100]	1
16	[0, 255]	[0, 255]	[0, 65025]	1759
16	[0, 22]	[27, 27]	[0, 594]	1259
16	[0, 255]	[257, 257]	[0, 65535]	689
16	[0, 23]	[27, 27]	[0, 621]	355
16	[0, 255]	[0, 65535]	[0, 65535]	285
16	[0, 255]	[150, 150]	[0, 38250]	264
16	[0, 255]	[255, 255]	[0, 65025]	252
16	[0, 31]	[2106, 2106]	[0, 65286]	143
16	[1, 254]	[0, 255]	[0, 64770]	123
16	[0, 255]	[1, 255]	[0, 65025]	122
16	[0, 254]	[0, 255]	[0, 64770]	113
16	[0, 255]	[3, 254]	[0, 64770]	99
16	[0, 255]	[1, 252]	[0, 64260]	97
16	[0, 65535]	[0, 255]	[0, 65535]	95
16	[0, 63]	[1037, 1037]	[0, 65331]	76
16	[1, 252]	[0, 255]	[0, 64260]	70
16	[0, 255]	[0, 252]	[0, 64260]	62
16	[1, 255]	[0, 255]	[0, 65025]	47
16	[0, 254]	[255, 255]	[0, 64770]	44
16	[0, 255]	[3, 252]	[0, 64260]	43
16	[0, 6553]	[10, 10]	[0, 65530]	37
16	[3, 252]	[255, 255]	[765, 64260]	36
16	[0, 255]	[1, 254]	[0, 64770]	28
16	[3, 252]	[1, 252]	[3, 63504]	27
16	[1, 255]	[1, 252]	[1, 64260]	26
16	[1, 65535]	[0, 255]	[0, 65535]	25
16	[0, 65535]	[255, 255]	[0, 65535]	23
16	[0, 65535]	[1, 252]	[0, 65535]	22
16	[0, 1984]	[0, 31]	[0, 61504]	22
16	[0, 255]	[0, 254]	[0, 64770]	19
16	[0, 255]	[3, 255]	[0, 65025]	17
16	[0, 255]	[223, 223]	[0, 56865]	16
16	[2, 255]	[0, 255]	[0, 65025]	14
16	[0, 6551]	[10, 10]	[0, 65510]	14
16	[0, 4095]	[10, 10]	[0, 40950]	13
16	[0, 0]	[257, 257]	[0, 0]	12
16	[0, 255]	[248, 248]	[0, 63240]	12
16	[0, 253]	[0, 255]	[0, 64515]	12
16	[0, 65535]	[36, 36]	[0, 65520]	10
16	[0, 65535]	[257, 257]	[0, 65535]	10
16	[3, 252]	[0, 255]	[0, 64260]	10
16	[0, 253]	[255, 255]	[0, 64515]	10
16	[0, 252]	[255, 255]	[0, 64260]	9
