# ---
# domain: UConstRange
# op: Or
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [1, 9]
# - [8, 2942]
# - [9, 3]
# - [16, 4477]
# - [24, 540]
# - [32, 31854]
# - [40, 329]
# - [48, 362]
# - [56, 84]
# - [64, 22470]
# - [80, 34]
# - [96, 1]
# - [120, 30]
# - [128, 648]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
1	[0, 1]	[0, 1]	[0, 1]	78371
1	[0, 0]	[0, 1]	[0, 1]	10875
1	[0, 1]	[0, 0]	[0, 1]	8207
1	[0, 0]	[0, 0]	[0, 0]	3096
1	[0, 1]	[1, 1]	[1, 1]	2964
1	[1, 1]	[0, 1]	[1, 1]	2261
1	[1, 1]	[0, 0]	[1, 1]	675
1	[0, 0]	[1, 1]	[1, 1]	639
1	[1, 1]	[1, 1]	[1, 1]	362
8	[0, 9]	[48, 48]	[48, 57]	74686
8	[0, 63]	[128, 128]	[128, 191]	35883
8	[0, 255]	[0, 255]	[0, 255]	22414
8	[0, 255]	[128, 128]	[128, 255]	22337
8	[0, 254]	[0, 1]	[0, 255]	17721
8	[0, 7]	[48, 48]	[48, 55]	16475
8	[0, 1]	[48, 48]	[48, 49]	15941
8	[0, 255]	[1, 1]	[1, 255]	13193
8	[0, 253]	[0, 2]	[0, 255]	12314
8	[0, 255]	[1, 128]	[1, 255]	10796
8	[0, 63]	[0, 3]	[0, 63]	8201
8	[0, 12]	[0, 48]	[0, 60]	8198
8	[0, 2]	[0, 253]	[0, 255]	6774
8	[0, 1]	[0, 1]	[0, 1]	6297
8	[0, 15]	[224, 224]	[224, 239]	6113
8	[2, 31]	[192, 192]	[194, 223]	5203
8	[0, 255]	[4, 4]	[4, 255]	3249
8	[0, 7]	[240, 240]	[240, 247]	3196
8	[0, 255]	[0, 1]	[0, 255]	2974
8	[0, 255]	[2, 2]	[2, 255]	2925
8	[0, 254]	[0, 255]	[0, 255]	2913
8	[0, 32]	[0, 255]	[0, 255]	2910
8	[0, 255]	[32, 32]	[32, 255]	2900
8	[0, 4]	[240, 240]	[240, 244]	2545
8	[0, 2]	[0, 1]	[0, 3]	2488
8	[0, 1]	[0, 0]	[0, 1]	2250
8	[0, 254]	[1, 1]	[1, 255]	2212
8	[32, 32]	[65, 90]	[97, 122]	2188
8	[0, 7]	[0, 8]	[0, 15]	2152
8	[0, 15]	[0, 16]	[0, 31]	2117
8	[0, 31]	[0, 32]	[0, 63]	2109
8	[0, 255]	[0, 0]	[0, 255]	2104
8	[0, 63]	[0, 64]	[0, 127]	2050
8	[0, 0]	[0, 1]	[0, 1]	1909
8	[0, 128]	[0, 127]	[0, 255]	1854
8	[1, 9]	[48, 48]	[49, 57]	1795
8	[0, 2]	[0, 0]	[0, 2]	1520
8	[0, 4]	[0, 0]	[0, 4]	1513
8	[0, 0]	[0, 255]	[0, 255]	1500
8	[0, 255]	[8, 8]	[8, 255]	1407
8	[0, 2]	[1, 1]	[1, 3]	1402
8	[0, 251]	[0, 4]	[0, 255]	1380
8	[0, 0]	[0, 0]	[0, 0]	1263
8	[0, 0]	[0, 2]	[0, 2]	1131
8	[0, 4]	[0, 3]	[0, 7]	1100
8	[0, 255]	[16, 16]	[16, 255]	1098
8	[0, 1]	[0, 2]	[0, 3]	937
8	[0, 31]	[192, 192]	[192, 223]	935
8	[0, 3]	[0, 4]	[0, 7]	931
8	[0, 4]	[0, 2]	[0, 6]	912
8	[0, 255]	[48, 48]	[48, 255]	833
8	[0, 8]	[0, 7]	[0, 15]	806
8	[0, 255]	[64, 64]	[64, 255]	789
8	[0, 32]	[0, 31]	[0, 63]	789
8	[0, 15]	[48, 48]	[48, 63]	787
8	[0, 64]	[0, 63]	[0, 127]	786
8	[0, 16]	[0, 15]	[0, 31]	782
8	[0, 1]	[2, 2]	[2, 3]	776
8	[0, 253]	[2, 2]	[2, 255]	762
