# ---
# domain: UConstRange
# op: Sdiv
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 28]
# - [16, 69]
# - [32, 3522]
# - [64, 2143]
# - [128, 38]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 255]	[1, 255]	[0, 255]	322
8	[0, 255]	[12, 12]	[0, 255]	209
8	[0, 255]	[2, 2]	[0, 255]	156
8	[0, 255]	[3, 3]	[0, 255]	91
8	[0, 255]	[24, 24]	[0, 255]	83
8	[128, 128]	[1, 254]	[1, 255]	44
8	[0, 255]	[10, 10]	[0, 255]	36
8	[0, 255]	[1, 254]	[0, 255]	32
8	[0, 255]	[2, 4]	[0, 255]	28
8	[0, 255]	[8, 8]	[0, 255]	27
8	[0, 255]	[9, 9]	[0, 255]	27
8	[0, 255]	[27, 27]	[0, 255]	27
8	[0, 255]	[1, 32]	[0, 255]	26
8	[128, 128]	[0, 255]	[1, 255]	14
8	[0, 255]	[254, 254]	[0, 255]	14
8	[0, 255]	[252, 252]	[0, 255]	13
8	[0, 255]	[4, 4]	[0, 255]	7
8	[0, 255]	[248, 248]	[0, 255]	6
8	[1, 127]	[2, 2]	[0, 63]	6
8	[128, 255]	[254, 254]	[0, 64]	6
8	[1, 255]	[8, 8]	[0, 255]	3
8	[1, 20]	[2, 2]	[0, 10]	2
8	[0, 0]	[5, 5]	[0, 0]	2
8	[0, 1]	[5, 5]	[0, 0]	2
8	[0, 2]	[5, 5]	[0, 0]	2
8	[0, 59]	[10, 10]	[0, 5]	1
8	[0, 0]	[253, 253]	[0, 0]	1
8	[0, 0]	[2, 2]	[0, 0]	1
16	[0, 65535]	[2, 2]	[0, 65535]	357
16	[0, 65535]	[1, 65535]	[0, 65535]	321
16	[0, 65535]	[65534, 65534]	[0, 65535]	121
16	[0, 65535]	[8, 8]	[0, 65535]	106
16	[32768, 32768]	[1, 65534]	[1, 65535]	44
16	[0, 32766]	[0, 65535]	[0, 65535]	42
16	[0, 32767]	[0, 65535]	[0, 65535]	42
16	[0, 65535]	[400, 400]	[0, 65535]	38
16	[0, 65535]	[4, 4]	[0, 65535]	38
16	[0, 65535]	[1, 65534]	[0, 65535]	32
16	[0, 65535]	[7, 7]	[0, 65535]	30
16	[0, 65535]	[65529, 65529]	[0, 65535]	24
16	[0, 65535]	[3, 3]	[0, 65535]	22
16	[0, 65535]	[100, 100]	[0, 65535]	18
16	[0, 65136]	[400, 400]	[0, 65535]	16
16	[32768, 32768]	[0, 65535]	[1, 65535]	14
16	[0, 65535]	[1000, 1000]	[0, 65535]	13
16	[32767, 32767]	[1, 65534]	[0, 65535]	12
16	[0, 65535]	[65436, 65436]	[0, 65535]	12
16	[0, 65535]	[65532, 65532]	[0, 65535]	12
16	[0, 65535]	[5, 5]	[0, 65535]	12
16	[0, 65535]	[10500, 10500]	[0, 65535]	9
16	[0, 65535]	[9500, 9500]	[0, 65535]	9
16	[0, 65535]	[10, 10]	[0, 65535]	8
16	[2048, 2048]	[0, 65535]	[0, 65535]	8
