# ---
# domain: UConstRange
# op: Shl
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 264]
# - [16, 384]
# - [24, 66]
# - [32, 7412]
# - [40, 54]
# - [48, 59]
# - [56, 34]
# - [64, 6570]
# - [80, 9]
# - [120, 9]
# - [128, 254]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 255]	[1, 1]	[0, 254]	12838
8	[0, 255]	[4, 4]	[0, 240]	3273
8	[1, 1]	[1, 1]	[2, 2]	2962
8	[1, 2]	[1, 1]	[2, 4]	2884
8	[1, 4]	[1, 1]	[2, 8]	2882
8	[0, 255]	[3, 3]	[0, 248]	2047
8	[0, 255]	[2, 2]	[0, 252]	1908
8	[0, 1]	[1, 1]	[0, 2]	1703
8	[1, 1]	[0, 7]	[1, 128]	979
8	[0, 255]	[6, 6]	[0, 192]	679
8	[0, 1]	[2, 2]	[0, 4]	552
8	[0, 1]	[3, 3]	[0, 8]	438
8	[0, 255]	[5, 5]	[0, 224]	369
8	[1, 255]	[1, 1]	[0, 254]	309
8	[100, 128]	[1, 1]	[0, 254]	268
8	[0, 255]	[7, 7]	[0, 128]	239
8	[0, 0]	[1, 1]	[0, 0]	196
8	[0, 255]	[0, 7]	[0, 255]	196
8	[0, 1]	[4, 4]	[0, 16]	187
8	[1, 255]	[2, 2]	[0, 252]	187
8	[0, 1]	[0, 7]	[0, 128]	185
8	[0, 1]	[5, 5]	[0, 32]	141
8	[0, 127]	[1, 1]	[0, 254]	132
8	[0, 15]	[4, 4]	[0, 240]	127
8	[128, 255]	[1, 1]	[0, 254]	108
8	[1, 1]	[0, 0]	[1, 1]	87
8	[0, 3]	[1, 1]	[0, 6]	79
8	[0, 254]	[1, 1]	[0, 254]	77
8	[0, 1]	[6, 6]	[0, 64]	76
8	[0, 0]	[4, 4]	[0, 0]	72
8	[16, 255]	[4, 4]	[0, 240]	72
8	[0, 3]	[2, 2]	[0, 12]	60
8	[0, 1]	[7, 7]	[0, 128]	60
8	[195, 205]	[2, 2]	[12, 52]	59
8	[1, 1]	[4, 4]	[16, 16]	57
8	[0, 0]	[0, 7]	[0, 0]	51
8	[0, 239]	[4, 4]	[0, 240]	50
8	[0, 0]	[2, 2]	[0, 0]	50
8	[0, 7]	[1, 1]	[0, 14]	45
8	[0, 64]	[2, 2]	[0, 252]	44
8	[0, 0]	[3, 3]	[0, 0]	42
8	[1, 2]	[4, 4]	[16, 32]	41
8	[128, 255]	[3, 3]	[0, 248]	41
8	[0, 11]	[6, 6]	[0, 192]	40
8	[0, 127]	[4, 4]	[0, 240]	37
8	[30, 255]	[1, 1]	[0, 254]	36
8	[0, 127]	[0, 7]	[0, 254]	35
8	[0, 3]	[4, 4]	[0, 48]	32
8	[64, 255]	[2, 2]	[0, 252]	30
8	[1, 255]	[4, 4]	[0, 240]	30
8	[0, 63]	[2, 2]	[0, 252]	29
8	[0, 15]	[1, 1]	[0, 30]	28
8	[192, 255]	[2, 2]	[0, 252]	28
8	[11, 11]	[1, 1]	[22, 22]	28
8	[0, 3]	[3, 3]	[0, 24]	27
8	[0, 255]	[0, 6]	[0, 255]	26
8	[0, 31]	[1, 1]	[0, 62]	25
8	[0, 252]	[1, 1]	[0, 254]	25
8	[0, 63]	[1, 1]	[0, 126]	23
8	[0, 63]	[3, 3]	[0, 248]	22
8	[0, 31]	[3, 3]	[0, 248]	22
8	[0, 63]	[4, 4]	[0, 240]	21
8	[1, 127]	[2, 2]	[0, 252]	21
8	[1, 3]	[4, 4]	[16, 48]	21
8	[0, 255]	[0, 1]	[0, 255]	20
8	[0, 254]	[4, 4]	[0, 240]	20
8	[0, 3]	[6, 6]	[0, 192]	19
8	[0, 2]	[1, 1]	[0, 4]	18
8	[0, 16]	[3, 3]	[0, 128]	18
8	[128, 252]	[1, 1]	[0, 248]	18
8	[0, 7]	[3, 3]	[0, 56]	18
8	[254, 255]	[7, 7]	[0, 128]	18
8	[1, 1]	[1, 7]	[2, 128]	17
8	[0, 7]	[2, 2]	[0, 28]	17
8	[1, 14]	[4, 4]	[16, 224]	16
8	[128, 255]	[2, 2]	[0, 252]	16
8	[16, 255]	[3, 3]	[0, 248]	15
8	[1, 1]	[2, 2]	[4, 4]	14
8	[0, 7]	[4, 4]	[0, 112]	14
8	[0, 254]	[6, 6]	[0, 192]	14
8	[0, 3]	[5, 5]	[0, 96]	13
8	[192, 255]	[7, 7]	[0, 128]	13
8	[16, 255]	[2, 2]	[0, 252]	13
8	[4, 255]	[4, 4]	[0, 240]	13
8	[0, 254]	[2, 2]	[0, 252]	12
8	[63, 63]	[0, 6]	[63, 252]	12
8	[0, 0]	[6, 6]	[0, 0]	11
8	[0, 63]	[6, 6]	[0, 192]	11
8	[0, 14]	[4, 4]	[0, 224]	11
8	[0, 254]	[3, 3]	[0, 248]	11
8	[2, 2]	[4, 4]	[32, 32]	10
8	[1, 255]	[5, 5]	[0, 224]	10
8	[7, 7]	[1, 1]	[14, 14]	10
8	[0, 0]	[5, 5]	[0, 0]	9
8	[0, 2]	[2, 2]	[0, 8]	9
8	[0, 8]	[4, 4]	[0, 128]	9
8	[0, 2]	[6, 6]	[0, 128]	9
8	[64, 255]	[4, 4]	[0, 240]	9
8	[0, 127]	[3, 3]	[0, 248]	9
8	[1, 1]	[0, 1]	[1, 2]	8
8	[1, 1]	[3, 3]	[8, 8]	8
8	[48, 55]	[3, 3]	[128, 184]	8
8	[48, 51]	[6, 6]	[0, 192]	8
8	[128, 255]	[6, 6]	[0, 192]	8
8	[0, 7]	[5, 5]	[0, 224]	7
8	[48, 57]	[4, 4]	[0, 144]	7
8	[0, 247]	[2, 2]	[0, 252]	7
8	[2, 2]	[6, 6]	[128, 128]	7
8	[4, 16]	[1, 1]	[8, 32]	6
8	[1, 1]	[7, 7]	[128, 128]	6
8	[0, 2]	[3, 3]	[0, 16]	6
8	[1, 127]	[4, 4]	[0, 240]	6
8	[0, 255]	[1, 7]	[0, 254]	6
8	[0, 39]	[4, 4]	[0, 240]	6
8	[97, 102]	[4, 4]	[16, 96]	6
8	[2, 2]	[0, 7]	[0, 128]	6
8	[2, 2]	[1, 1]	[4, 4]	6
8	[8, 128]	[1, 1]	[0, 254]	6
