# ---
# domain: UConstRange
# op: ShlNsw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 17]
# - [16, 32]
# - [32, 997]
# - [64, 1345]
# - [128, 28]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[255, 255]	[0, 7]	[128, 255]	101
8	[255, 255]	[1, 7]	[128, 254]	28
8	[0, 255]	[4, 4]	[0, 240]	10
8	[255, 255]	[0, 5]	[224, 255]	6
8	[255, 255]	[1, 255]	[128, 254]	5
8	[0, 255]	[2, 2]	[0, 252]	4
8	[0, 1]	[1, 1]	[0, 2]	4
8	[1, 1]	[1, 1]	[2, 2]	4
8	[255, 255]	[1, 1]	[254, 254]	4
8	[0, 255]	[1, 1]	[0, 254]	3
8	[0, 0]	[1, 1]	[0, 0]	3
8	[255, 255]	[1, 3]	[248, 254]	2
8	[255, 255]	[1, 8]	[128, 254]	2
8	[216, 249]	[1, 1]	[176, 242]	2
8	[0, 3]	[4, 4]	[0, 48]	1
8	[216, 255]	[1, 1]	[176, 254]	1
8	[255, 255]	[0, 0]	[255, 255]	1
16	[65535, 65535]	[0, 15]	[32768, 65535]	142
16	[65535, 65535]	[1, 15]	[32768, 65534]	78
16	[65535, 65535]	[0, 14]	[49152, 65535]	66
16	[0, 0]	[1, 1]	[0, 0]	64
16	[65535, 65535]	[1, 11]	[63488, 65534]	36
16	[65535, 65535]	[1, 7]	[65408, 65534]	32
16	[0, 65535]	[2, 2]	[0, 65532]	23
16	[65535, 65535]	[0, 255]	[32768, 65535]	12
16	[65535, 65535]	[1, 8]	[65280, 65534]	10
16	[65535, 65535]	[0, 8]	[65280, 65535]	7
16	[65528, 65535]	[8, 8]	[63488, 65280]	6
16	[65344, 65344]	[1, 1]	[65152, 65152]	6
16	[65344, 65344]	[2, 2]	[64768, 64768]	6
16	[65535, 65535]	[0, 7]	[65408, 65535]	6
16	[65535, 65535]	[0, 9]	[65024, 65535]	5
16	[65535, 65535]	[0, 0]	[65535, 65535]	4
16	[65534, 65534]	[0, 3]	[65520, 65534]	3
