# ---
# domain: UConstRange
# op: ShlNswNuw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 144]
# - [16, 349]
# - [24, 80]
# - [32, 4610]
# - [40, 38]
# - [48, 61]
# - [56, 24]
# - [64, 5482]
# - [80, 1]
# - [120, 8]
# - [128, 313]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 1]	[1, 1]	[0, 2]	8279
8	[0, 1]	[2, 2]	[0, 4]	2461
8	[0, 1]	[3, 3]	[0, 8]	2189
8	[0, 1]	[4, 4]	[0, 16]	2080
8	[0, 1]	[5, 5]	[0, 32]	2065
8	[0, 1]	[6, 6]	[0, 64]	2036
8	[0, 22]	[1, 1]	[0, 44]	809
8	[1, 1]	[0, 6]	[1, 64]	223
8	[1, 29]	[1, 1]	[2, 58]	136
8	[0, 255]	[1, 1]	[0, 126]	133
8	[0, 3]	[2, 2]	[0, 12]	108
8	[0, 3]	[3, 3]	[0, 24]	107
8	[0, 15]	[1, 1]	[0, 30]	95
8	[1, 1]	[0, 3]	[1, 8]	86
8	[0, 15]	[2, 2]	[0, 60]	84
8	[1, 3]	[3, 3]	[8, 24]	78
8	[0, 4]	[1, 1]	[0, 8]	70
8	[0, 7]	[1, 1]	[0, 14]	69
8	[0, 2]	[1, 1]	[0, 4]	65
8	[1, 5]	[1, 1]	[2, 10]	56
8	[0, 7]	[3, 3]	[0, 56]	54
8	[0, 63]	[1, 1]	[0, 126]	39
8	[0, 3]	[1, 1]	[0, 6]	38
8	[0, 5]	[1, 1]	[0, 10]	34
8	[0, 255]	[4, 4]	[0, 112]	34
8	[1, 4]	[1, 1]	[2, 8]	32
8	[1, 60]	[1, 1]	[2, 120]	31
8	[0, 29]	[1, 1]	[0, 58]	29
8	[0, 31]	[1, 1]	[0, 62]	28
8	[0, 255]	[2, 2]	[0, 124]	26
8	[1, 1]	[0, 4]	[1, 16]	26
8	[8, 8]	[0, 3]	[8, 64]	24
8	[0, 15]	[3, 3]	[0, 120]	22
8	[1, 3]	[1, 1]	[2, 6]	20
8	[1, 4]	[3, 3]	[8, 32]	20
8	[0, 31]	[2, 2]	[0, 124]	18
8	[0, 0]	[1, 1]	[0, 0]	17
8	[0, 255]	[3, 3]	[0, 120]	16
8	[1, 1]	[0, 2]	[1, 4]	16
8	[1, 6]	[1, 1]	[2, 12]	16
8	[0, 3]	[4, 4]	[0, 48]	15
8	[0, 2]	[5, 5]	[0, 64]	15
8	[0, 0]	[2, 2]	[0, 0]	15
8	[1, 14]	[1, 1]	[2, 28]	14
8	[0, 7]	[4, 4]	[0, 112]	14
8	[0, 6]	[1, 1]	[0, 12]	14
8	[1, 1]	[1, 1]	[2, 2]	12
8	[2, 2]	[3, 3]	[16, 16]	12
8	[0, 255]	[5, 5]	[0, 96]	11
8	[0, 28]	[1, 1]	[0, 56]	10
8	[1, 7]	[4, 4]	[16, 112]	10
8	[20, 30]	[2, 2]	[80, 120]	10
8	[0, 16]	[1, 1]	[0, 32]	9
8	[1, 7]	[3, 3]	[8, 56]	9
8	[0, 2]	[4, 4]	[0, 32]	9
8	[0, 30]	[2, 2]	[0, 120]	9
8	[0, 60]	[1, 1]	[0, 120]	8
8	[0, 255]	[6, 6]	[0, 64]	8
8	[0, 2]	[2, 2]	[0, 8]	8
8	[0, 2]	[3, 3]	[0, 16]	8
8	[0, 7]	[2, 2]	[0, 28]	8
8	[1, 8]	[1, 1]	[2, 16]	8
8	[0, 24]	[1, 1]	[0, 48]	8
8	[0, 14]	[1, 1]	[0, 28]	7
8	[0, 8]	[1, 1]	[0, 16]	7
8	[0, 0]	[3, 3]	[0, 0]	7
8	[0, 12]	[2, 2]	[0, 48]	7
8	[0, 8]	[3, 3]	[0, 64]	6
8	[8, 8]	[0, 2]	[8, 32]	6
8	[0, 16]	[2, 2]	[0, 64]	6
8	[1, 1]	[0, 5]	[1, 32]	6
8	[0, 4]	[3, 3]	[0, 32]	6
8	[1, 9]	[1, 1]	[2, 18]	6
8	[0, 251]	[2, 2]	[0, 124]	6
8	[0, 251]	[4, 4]	[0, 112]	6
8	[1, 1]	[0, 1]	[1, 2]	5
8	[1, 2]	[1, 1]	[2, 4]	5
8	[1, 3]	[4, 4]	[16, 48]	5
8	[1, 255]	[1, 1]	[2, 126]	5
8	[1, 8]	[3, 3]	[8, 64]	5
8	[1, 4]	[2, 2]	[4, 16]	5
8	[0, 5]	[2, 2]	[0, 20]	4
8	[0, 0]	[4, 4]	[0, 0]	4
8	[5, 15]	[2, 2]	[20, 60]	4
8	[1, 1]	[0, 0]	[1, 1]	4
8	[1, 1]	[2, 2]	[4, 4]	4
8	[1, 15]	[3, 3]	[8, 120]	4
8	[0, 42]	[2, 2]	[0, 124]	4
8	[0, 3]	[5, 5]	[0, 96]	3
8	[0, 4]	[2, 2]	[0, 16]	3
8	[0, 9]	[1, 1]	[0, 18]	3
8	[1, 7]	[2, 2]	[4, 28]	3
8	[8, 15]	[1, 1]	[16, 30]	3
8	[16, 23]	[1, 1]	[32, 46]	3
8	[6, 8]	[1, 1]	[12, 16]	2
8	[0, 0]	[5, 5]	[0, 0]	2
8	[1, 2]	[5, 5]	[32, 64]	2
8	[0, 5]	[4, 4]	[0, 80]	2
8	[0, 10]	[2, 2]	[0, 40]	2
8	[0, 1]	[0, 0]	[0, 1]	2
8	[0, 1]	[0, 6]	[0, 64]	2
8	[3, 13]	[2, 2]	[12, 52]	2
8	[1, 6]	[3, 3]	[8, 48]	2
8	[1, 12]	[3, 3]	[8, 96]	2
8	[1, 12]	[1, 1]	[2, 24]	2
8	[0, 254]	[3, 3]	[0, 120]	2
8	[2, 8]	[2, 2]	[8, 32]	2
8	[0, 25]	[1, 1]	[0, 50]	2
8	[48, 49]	[1, 1]	[96, 98]	2
8	[1, 1]	[0, 255]	[1, 64]	2
8	[4, 4]	[3, 3]	[32, 32]	2
8	[4, 7]	[4, 4]	[64, 112]	2
8	[0, 1]	[1, 2]	[0, 4]	2
8	[1, 1]	[3, 3]	[8, 8]	2
8	[4, 8]	[2, 2]	[16, 32]	2
8	[0, 247]	[2, 2]	[0, 124]	2
8	[0, 247]	[4, 4]	[0, 112]	2
8	[0, 243]	[2, 2]	[0, 124]	2
8	[0, 243]	[4, 4]	[0, 112]	2
8	[40, 47]	[1, 1]	[80, 94]	2
8	[1, 32]	[1, 1]	[2, 64]	2
8	[1, 63]	[1, 1]	[2, 126]	2
8	[2, 4]	[4, 4]	[32, 64]	2
8	[0, 127]	[1, 1]	[0, 126]	2
8	[4, 4]	[1, 3]	[8, 32]	1
8	[5, 5]	[4, 4]	[80, 80]	1
8	[2, 2]	[2, 2]	[8, 8]	1
8	[0, 1]	[0, 2]	[0, 4]	1
8	[0, 1]	[0, 4]	[0, 16]	1
8	[1, 17]	[1, 1]	[2, 34]	1
8	[1, 15]	[1, 1]	[2, 30]	1
8	[0, 6]	[3, 3]	[0, 48]	1
8	[10, 31]	[1, 1]	[20, 62]	1
8	[1, 3]	[2, 2]	[4, 12]	1
8	[0, 1]	[0, 1]	[0, 2]	1
8	[30, 37]	[1, 1]	[60, 74]	1
8	[1, 253]	[1, 1]	[2, 126]	1
8	[0, 85]	[2, 2]	[0, 124]	1
8	[0, 7]	[2, 3]	[0, 56]	1
8	[1, 1]	[4, 4]	[16, 16]	1
8	[1, 2]	[4, 4]	[16, 32]	1
8	[0, 8]	[2, 2]	[0, 32]	1
8	[48, 57]	[1, 1]	[96, 114]	1
8	[1, 127]	[1, 1]	[2, 126]	1
16	[0, 99]	[1, 1]	[0, 198]	6315
16	[0, 255]	[1, 1]	[0, 510]	2458
16	[0, 1]	[8, 8]	[0, 256]	1477
16	[0, 255]	[3, 3]	[0, 2040]	690
16	[1, 7]	[3, 3]	[8, 56]	334
16	[0, 255]	[2, 2]	[0, 1020]	265
16	[0, 63]	[6, 6]	[0, 4032]	236
16	[10, 99]	[1, 1]	[20, 198]	235
16	[0, 255]	[4, 4]	[0, 4080]	234
16	[0, 510]	[2, 2]	[0, 2040]	224
16	[0, 127]	[7, 7]	[0, 16256]	219
16	[0, 1020]	[1, 1]	[0, 2040]	204
16	[0, 255]	[6, 6]	[0, 16320]	172
16	[0, 15]	[3, 3]	[0, 120]	156
16	[0, 255]	[5, 5]	[0, 8160]	124
16	[0, 127]	[8, 8]	[0, 32512]	123
16	[0, 15]	[8, 8]	[0, 3840]	110
16	[0, 3]	[8, 8]	[0, 768]	108
16	[0, 255]	[8, 8]	[0, 32512]	98
16	[0, 192]	[2, 2]	[0, 768]	91
16	[0, 255]	[7, 7]	[0, 32640]	88
16	[0, 1638]	[1, 1]	[0, 3276]	85
16	[0, 255]	[0, 7]	[0, 32640]	78
16	[1, 1]	[0, 7]	[1, 128]	69
16	[0, 16]	[1, 1]	[0, 32]	69
16	[0, 510]	[1, 1]	[0, 1020]	63
16	[0, 63]	[5, 5]	[0, 2016]	60
16	[0, 32]	[1, 1]	[0, 64]	58
16	[21, 23]	[3, 3]	[168, 184]	57
16	[1, 1]	[8, 8]	[256, 256]	55
16	[0, 75]	[3, 3]	[0, 600]	52
16	[0, 31]	[6, 6]	[0, 1984]	50
16	[10, 327]	[1, 1]	[20, 654]	50
16	[0, 4]	[8, 8]	[0, 1024]	49
16	[0, 1]	[10, 10]	[0, 1024]	48
16	[0, 0]	[8, 8]	[0, 0]	47
16	[255, 255]	[1, 7]	[510, 32640]	46
16	[0, 64]	[1, 1]	[0, 128]	45
16	[0, 2]	[8, 8]	[0, 512]	44
16	[10, 655]	[1, 1]	[20, 1310]	44
16	[0, 63]	[8, 8]	[0, 16128]	43
16	[0, 31]	[5, 5]	[0, 992]	41
16	[49, 457]	[2, 2]	[196, 1828]	40
16	[0, 65535]	[1, 1]	[0, 32766]	39
16	[0, 1]	[12, 12]	[0, 4096]	38
16	[0, 65535]	[2, 2]	[0, 32764]	38
16	[0, 31]	[8, 8]	[0, 7936]	36
16	[0, 55]	[6, 6]	[0, 3520]	36
16	[0, 65535]	[3, 3]	[0, 32760]	35
16	[0, 31]	[10, 10]	[0, 31744]	35
16	[0, 1]	[11, 11]	[0, 2048]	33
16	[0, 1]	[9, 9]	[0, 512]	29
16	[0, 3]	[1, 1]	[0, 6]	25
16	[0, 252]	[3, 3]	[0, 2016]	25
16	[0, 125]	[8, 8]	[0, 32000]	24
16	[0, 7]	[6, 6]	[0, 448]	22
16	[2, 3]	[8, 8]	[512, 768]	21
16	[1, 1]	[0, 8]	[1, 256]	21
16	[0, 510]	[6, 6]	[0, 32640]	21
16	[0, 31]	[3, 3]	[0, 248]	21
16	[0, 63]	[4, 4]	[0, 1008]	19
16	[0, 3]	[12, 12]	[0, 12288]	19
16	[0, 15]	[10, 10]	[0, 15360]	19
16	[0, 255]	[4, 5]	[0, 8160]	18
16	[0, 15]	[6, 6]	[0, 960]	18
16	[0, 54]	[6, 6]	[0, 3456]	18
16	[1, 256]	[2, 2]	[4, 1024]	18
16	[1, 1]	[1, 2]	[2, 4]	17
16	[12, 15]	[4, 4]	[192, 240]	17
16	[0, 256]	[1, 1]	[0, 512]	16
16	[1, 1]	[0, 6]	[1, 64]	15
16	[0, 64]	[4, 4]	[0, 1024]	15
16	[0, 6]	[8, 8]	[0, 1536]	15
16	[1, 1023]	[1, 1]	[2, 2046]	15
16	[0, 15]	[4, 4]	[0, 240]	14
16	[0, 127]	[4, 4]	[0, 2032]	14
16	[0, 4]	[3, 3]	[0, 32]	14
16	[0, 3]	[10, 10]	[0, 3072]	14
16	[64, 127]	[3, 3]	[512, 1016]	14
16	[128, 254]	[6, 6]	[8192, 16256]	14
16	[0, 1]	[13, 13]	[0, 8192]	13
16	[0, 7]	[1, 1]	[0, 14]	13
16	[0, 248]	[2, 2]	[0, 992]	13
16	[0, 248]	[7, 7]	[0, 31744]	13
16	[0, 512]	[1, 1]	[0, 1024]	12
16	[0, 39]	[6, 6]	[0, 2496]	12
16	[0, 1]	[3, 3]	[0, 8]	11
16	[0, 254]	[4, 4]	[0, 4064]	11
16	[0, 2]	[2, 2]	[0, 8]	10
16	[0, 1]	[1, 1]	[0, 2]	10
16	[1, 1]	[0, 13]	[1, 8192]	10
16	[0, 510]	[4, 4]	[0, 8160]	10
16	[128, 255]	[7, 7]	[16384, 32640]	10
16	[0, 3]	[2, 2]	[0, 12]	9
16	[0, 240]	[4, 4]	[0, 3840]	9
16	[0, 62]	[6, 6]	[0, 3968]	9
16	[0, 6]	[6, 6]	[0, 384]	9
16	[1, 256]	[3, 3]	[8, 2048]	9
16	[0, 21]	[8, 8]	[0, 5376]	9
16	[5, 15]	[2, 2]	[20, 60]	8
16	[0, 128]	[4, 4]	[0, 2048]	8
16	[0, 128]	[3, 3]	[0, 1024]	8
16	[0, 15]	[7, 7]	[0, 1920]	8
16	[0, 655]	[2, 2]	[0, 2620]	8
16	[1, 3]	[2, 2]	[4, 12]	8
16	[0, 59]	[5, 5]	[0, 1888]	8
16	[0, 1]	[14, 14]	[0, 16384]	8
16	[0, 65535]	[8, 8]	[0, 32512]	8
16	[0, 0]	[3, 3]	[0, 0]	8
16	[0, 127]	[1, 1]	[0, 254]	8
16	[0, 65535]	[5, 5]	[0, 32736]	7
16	[0, 1]	[4, 4]	[0, 16]	7
16	[0, 64]	[3, 3]	[0, 512]	7
16	[0, 63]	[1, 1]	[0, 126]	7
16	[0, 16383]	[1, 1]	[0, 32766]	7
16	[1, 255]	[2, 2]	[4, 1020]	7
16	[1, 1]	[0, 1]	[1, 2]	6
16	[0, 2]	[5, 5]	[0, 64]	6
16	[4, 75]	[3, 3]	[32, 600]	6
16	[0, 15]	[1, 1]	[0, 30]	6
16	[0, 127]	[2, 2]	[0, 508]	5
16	[0, 1]	[6, 6]	[0, 64]	5
16	[0, 0]	[4, 4]	[0, 0]	5
16	[0, 65535]	[4, 4]	[0, 32752]	5
16	[0, 41]	[4, 4]	[0, 656]	5
16	[1, 1]	[0, 65535]	[1, 16384]	5
16	[0, 15]	[5, 5]	[0, 480]	5
16	[0, 2]	[1, 1]	[0, 4]	5
16	[1, 3]	[3, 3]	[8, 24]	5
16	[0, 1023]	[2, 2]	[0, 4092]	5
16	[0, 7]	[8, 8]	[0, 1792]	5
16	[0, 7]	[3, 3]	[0, 56]	5
16	[1, 1]	[0, 4]	[1, 16]	5
16	[0, 15]	[9, 9]	[0, 7680]	5
16	[8, 8]	[8, 8]	[2048, 2048]	5
16	[8, 71]	[8, 8]	[2048, 18176]	5
16	[0, 15]	[0, 1]	[0, 30]	5
16	[1, 6]	[8, 8]	[256, 1536]	5
16	[0, 3]	[4, 4]	[0, 48]	4
16	[0, 1]	[2, 2]	[0, 4]	4
16	[0, 2]	[4, 4]	[0, 32]	4
16	[0, 256]	[3, 3]	[0, 2048]	4
16	[1, 1]	[0, 3]	[1, 8]	4
16	[1, 1]	[0, 0]	[1, 1]	4
16	[0, 15]	[11, 11]	[0, 30720]	4
16	[10, 14]	[8, 8]	[2560, 3584]	4
16	[0, 7]	[10, 10]	[0, 7168]	4
16	[0, 5]	[10, 10]	[0, 5120]	4
16	[0, 2]	[11, 11]	[0, 4096]	4
16	[0, 15]	[2, 2]	[0, 60]	4
16	[0, 8]	[11, 11]	[0, 16384]	4
16	[0, 32]	[9, 9]	[0, 16384]	4
16	[0, 6]	[2, 2]	[0, 24]	4
16	[0, 31]	[5, 10]	[0, 31744]	4
16	[128, 255]	[4, 4]	[2048, 4080]	4
16	[4, 64]	[2, 2]	[16, 256]	4
16	[0, 511]	[2, 2]	[0, 2044]	4
16	[0, 255]	[0, 65535]	[0, 32640]	4
16	[1, 63]	[4, 4]	[16, 1008]	4
16	[1, 4095]	[1, 1]	[2, 8190]	4
16	[0, 102]	[8, 8]	[0, 26112]	4
16	[1, 2]	[8, 8]	[256, 512]	4
16	[1, 4]	[8, 8]	[256, 1024]	4
16	[1, 255]	[6, 6]	[64, 16320]	4
16	[1, 255]	[3, 3]	[8, 2040]	4
16	[32, 64]	[1, 1]	[64, 128]	4
16	[1, 255]	[1, 1]	[2, 510]	4
16	[1, 3]	[8, 8]	[256, 768]	4
16	[0, 992]	[5, 5]	[0, 31744]	4
16	[0, 655]	[1, 1]	[0, 1310]	3
16	[0, 3]	[6, 6]	[0, 192]	3
16	[0, 4095]	[1, 1]	[0, 8190]	3
16	[0, 0]	[10, 10]	[0, 0]	3
16	[0, 2]	[6, 6]	[0, 128]	3
16	[1, 127]	[1, 7]	[2, 16256]	3
16	[0, 255]	[1, 7]	[0, 32640]	3
16	[0, 18]	[1, 1]	[0, 36]	3
16	[0, 17]	[8, 8]	[0, 4352]	3
16	[1, 4]	[2, 2]	[4, 16]	3
16	[0, 0]	[5, 5]	[0, 0]	3
16	[0, 511]	[4, 4]	[0, 8176]	3
16	[128, 255]	[6, 6]	[8192, 16320]	3
16	[1, 56]	[8, 8]	[256, 14336]	3
16	[0, 510]	[3, 3]	[0, 4080]	3
16	[16, 31]	[3, 10]	[128, 31744]	3
16	[1, 512]	[1, 1]	[2, 1024]	3
16	[1, 15]	[0, 3]	[1, 120]	3
16	[2, 7]	[7, 7]	[256, 896]	3
16	[1, 52]	[4, 4]	[16, 832]	3
16	[128, 128]	[0, 6]	[128, 8192]	3
16	[0, 31]	[4, 4]	[0, 496]	3
16	[128, 128]	[0, 7]	[128, 16384]	3
16	[0, 15]	[3, 10]	[0, 15360]	3
16	[8, 8]	[0, 7]	[8, 1024]	3
16	[0, 127]	[6, 6]	[0, 8128]	2
16	[1, 127]	[8, 8]	[256, 32512]	2
16	[4, 255]	[3, 3]	[32, 2040]	2
16	[0, 1024]	[4, 4]	[0, 16384]	2
16	[0, 0]	[9, 9]	[0, 0]	2
16	[0, 2]	[9, 9]	[0, 1024]	2
16	[0, 65535]	[9, 9]	[0, 32256]	2
16	[0, 240]	[3, 3]	[0, 1920]	2
16	[64, 64]	[0, 8]	[64, 16384]	2
16	[1, 1]	[0, 2]	[1, 4]	2
16	[0, 48]	[4, 4]	[0, 768]	2
16	[40, 52]	[2, 2]	[160, 208]	2
16	[20, 52]	[2, 2]	[80, 208]	2
16	[248, 2288]	[2, 2]	[992, 9152]	2
16	[1, 1]	[1, 1]	[2, 2]	2
16	[1, 10]	[1, 1]	[2, 20]	2
16	[0, 4]	[6, 6]	[0, 256]	2
16	[6, 36]	[4, 4]	[96, 576]	2
16	[0, 5]	[1, 1]	[0, 10]	2
16	[1, 128]	[3, 3]	[8, 1024]	2
16	[0, 0]	[1, 1]	[0, 0]	2
16	[0, 16]	[6, 6]	[0, 1024]	2
16	[2, 5]	[8, 8]	[512, 1280]	2
16	[16, 64]	[3, 3]	[128, 512]	2
16	[4, 64]	[1, 1]	[8, 128]	2
16	[0, 2047]	[1, 1]	[0, 4094]	2
16	[1, 75]	[3, 3]	[8, 600]	2
16	[0, 123]	[1, 1]	[0, 246]	2
16	[2, 4]	[8, 8]	[512, 1024]	2
16	[10, 255]	[8, 8]	[2560, 32512]	2
16	[0, 1023]	[5, 5]	[0, 32736]	2
16	[2, 2]	[10, 10]	[2048, 2048]	2
16	[0, 2]	[10, 10]	[0, 2048]	2
16	[1, 255]	[4, 4]	[16, 4080]	2
16	[5, 9]	[5, 5]	[160, 288]	2
16	[5, 22]	[5, 5]	[160, 704]	2
16	[53, 54]	[8, 8]	[13568, 13824]	2
16	[1, 16]	[4, 4]	[16, 256]	2
16	[0, 65535]	[0, 8]	[0, 65535]	2
16	[0, 8]	[3, 3]	[0, 64]	2
16	[2, 2]	[8, 8]	[512, 512]	2
16	[1, 9]	[8, 8]	[256, 2304]	2
16	[2, 3]	[7, 7]	[256, 384]	2
16	[0, 1]	[7, 7]	[0, 128]	2
16	[6, 54]	[1, 1]	[12, 108]	2
16	[32, 64]	[8, 8]	[8192, 16384]	2
16	[52, 64]	[8, 8]	[13312, 16384]	2
16	[40, 64]	[8, 8]	[10240, 16384]	2
16	[0, 4]	[5, 5]	[0, 128]	2
16	[2, 3]	[2, 2]	[8, 12]	2
16	[8, 15]	[1, 1]	[16, 30]	2
16	[0, 28]	[8, 8]	[0, 7168]	2
16	[1, 7]	[9, 9]	[512, 3584]	2
16	[1, 3]	[4, 4]	[16, 48]	2
16	[0, 31]	[1, 1]	[0, 62]	2
16	[0, 511]	[1, 1]	[0, 1022]	2
16	[0, 1023]	[1, 1]	[0, 2046]	2
16	[13, 13]	[1, 1]	[26, 26]	2
16	[128, 255]	[1, 1]	[256, 510]	2
16	[0, 0]	[2, 2]	[0, 0]	2
16	[1, 127]	[3, 3]	[8, 1016]	2
