# ---
# domain: UConstRange
# op: ShlNuw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 126]
# - [11, 1]
# - [16, 151]
# - [24, 18]
# - [32, 1345]
# - [40, 10]
# - [48, 19]
# - [56, 3]
# - [64, 1740]
# - [120, 1]
# - [128, 195]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[1, 1]	[0, 7]	[1, 128]	16442
8	[0, 1]	[7, 7]	[0, 128]	1208
8	[10, 99]	[1, 1]	[20, 198]	785
8	[0, 1]	[0, 7]	[0, 128]	629
8	[3, 3]	[0, 6]	[3, 192]	624
8	[0, 99]	[1, 1]	[0, 198]	539
8	[1, 1]	[0, 0]	[1, 1]	274
8	[1, 63]	[2, 2]	[4, 252]	266
8	[0, 15]	[4, 4]	[0, 240]	221
8	[0, 127]	[1, 1]	[0, 254]	183
8	[0, 255]	[4, 4]	[0, 240]	172
8	[2, 2]	[0, 6]	[2, 128]	151
8	[2, 30]	[3, 3]	[16, 240]	136
8	[1, 1]	[0, 1]	[1, 2]	112
8	[1, 1]	[0, 2]	[1, 4]	107
8	[0, 14]	[4, 4]	[0, 224]	107
8	[0, 16]	[3, 3]	[0, 128]	94
8	[0, 63]	[2, 2]	[0, 252]	74
8	[7, 9]	[4, 4]	[112, 144]	60
8	[0, 3]	[6, 6]	[0, 192]	51
8	[8, 9]	[4, 4]	[128, 144]	50
8	[1, 127]	[1, 1]	[2, 254]	47
8	[1, 255]	[2, 2]	[4, 252]	37
8	[0, 255]	[7, 7]	[0, 128]	34
8	[2, 61]	[2, 2]	[8, 244]	31
8	[0, 31]	[3, 3]	[0, 248]	31
8	[1, 1]	[7, 7]	[128, 128]	29
8	[0, 9]	[4, 4]	[0, 144]	24
8	[0, 255]	[1, 1]	[0, 254]	23
8	[0, 254]	[1, 1]	[0, 254]	22
8	[0, 255]	[2, 2]	[0, 252]	21
8	[1, 1]	[1, 7]	[2, 128]	15
8	[2, 15]	[4, 4]	[32, 240]	14
8	[2, 7]	[5, 5]	[64, 224]	14
8	[0, 11]	[4, 4]	[0, 176]	13
8	[0, 255]	[6, 6]	[0, 192]	13
8	[0, 0]	[0, 7]	[0, 0]	12
8	[0, 1]	[1, 7]	[0, 128]	12
8	[0, 0]	[7, 7]	[0, 0]	12
8	[1, 1]	[6, 7]	[64, 128]	12
8	[0, 0]	[4, 4]	[0, 0]	11
8	[0, 2]	[6, 6]	[0, 128]	10
8	[0, 1]	[1, 1]	[0, 2]	10
8	[16, 59]	[2, 2]	[64, 236]	10
8	[0, 7]	[5, 5]	[0, 224]	9
8	[1, 1]	[5, 7]	[32, 128]	9
8	[0, 8]	[4, 4]	[0, 128]	8
8	[1, 8]	[4, 4]	[16, 128]	8
8	[9, 18]	[3, 3]	[72, 144]	8
8	[2, 255]	[2, 2]	[8, 252]	8
8	[0, 1]	[0, 0]	[0, 1]	8
8	[1, 126]	[1, 1]	[2, 252]	7
8	[0, 255]	[3, 3]	[0, 248]	6
8	[66, 127]	[1, 1]	[132, 254]	6
8	[0, 1]	[6, 6]	[0, 64]	6
8	[0, 1]	[2, 2]	[0, 4]	6
8	[0, 15]	[0, 7]	[0, 240]	6
8	[16, 99]	[1, 1]	[32, 198]	6
8	[1, 1]	[1, 1]	[2, 2]	5
8	[1, 1]	[1, 2]	[2, 4]	5
8	[1, 1]	[1, 3]	[2, 8]	5
8	[0, 1]	[0, 1]	[0, 2]	5
8	[0, 1]	[0, 2]	[0, 4]	5
8	[1, 16]	[3, 3]	[8, 128]	5
8	[1, 31]	[0, 3]	[1, 248]	5
8	[4, 8]	[4, 4]	[64, 128]	5
8	[1, 3]	[6, 6]	[64, 192]	4
8	[2, 32]	[2, 2]	[8, 128]	4
8	[0, 32]	[2, 2]	[0, 128]	4
8	[50, 100]	[1, 1]	[100, 200]	4
8	[0, 1]	[3, 3]	[0, 8]	4
8	[0, 54]	[4, 4]	[0, 240]	4
8	[0, 7]	[3, 3]	[0, 56]	3
8	[0, 85]	[1, 1]	[0, 170]	3
8	[1, 1]	[4, 4]	[16, 16]	3
8	[1, 15]	[4, 4]	[16, 240]	3
8	[0, 3]	[0, 7]	[0, 192]	3
8	[0, 0]	[1, 1]	[0, 0]	3
8	[0, 0]	[3, 3]	[0, 0]	3
8	[1, 2]	[6, 6]	[64, 128]	3
8	[16, 255]	[3, 3]	[128, 248]	3
8	[1, 14]	[4, 4]	[16, 224]	3
