# ---
# domain: UConstRange
# op: Smax
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 43]
# - [16, 94]
# - [32, 2934]
# - [33, 1]
# - [34, 4]
# - [35, 2]
# - [36, 1]
# - [40, 1]
# - [64, 1124]
# - [128, 3]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 0]	[0, 255]	[0, 127]	4273
8	[1, 1]	[0, 255]	[1, 127]	2140
8	[0, 255]	[0, 255]	[0, 255]	1896
8	[192, 192]	[0, 255]	[0, 255]	672
8	[0, 255]	[129, 129]	[0, 255]	635
8	[2, 2]	[0, 255]	[2, 127]	234
8	[6, 6]	[0, 255]	[6, 127]	198
8	[48, 48]	[0, 255]	[48, 127]	173
8	[0, 255]	[0, 0]	[0, 127]	136
8	[255, 255]	[0, 255]	[0, 255]	126
8	[4, 4]	[0, 255]	[4, 127]	50
8	[49, 49]	[0, 255]	[49, 127]	50
8	[0, 0]	[1, 255]	[0, 127]	48
8	[53, 53]	[0, 255]	[53, 127]	44
8	[2, 127]	[0, 255]	[2, 127]	40
8	[0, 0]	[32, 255]	[0, 127]	36
8	[5, 5]	[0, 255]	[5, 127]	36
8	[1, 1]	[1, 255]	[1, 127]	29
8	[0, 127]	[0, 255]	[0, 127]	24
8	[32, 32]	[0, 255]	[32, 127]	16
8	[66, 66]	[0, 255]	[66, 127]	14
8	[3, 3]	[0, 255]	[3, 127]	14
8	[0, 255]	[1, 1]	[1, 127]	14
8	[2, 2]	[2, 128]	[2, 127]	12
8	[2, 2]	[1, 128]	[2, 127]	10
8	[1, 127]	[0, 255]	[1, 127]	8
8	[0, 0]	[16, 128]	[0, 127]	6
8	[1, 1]	[0, 127]	[1, 127]	6
8	[97, 97]	[32, 255]	[97, 127]	6
8	[130, 130]	[0, 255]	[0, 255]	6
8	[58, 58]	[0, 255]	[58, 127]	4
8	[56, 56]	[0, 255]	[56, 127]	4
8	[17, 17]	[0, 255]	[17, 127]	4
8	[1, 255]	[1, 255]	[1, 255]	4
8	[0, 255]	[65, 65]	[65, 127]	3
8	[0, 255]	[0, 127]	[0, 127]	3
8	[65, 65]	[0, 255]	[65, 127]	2
8	[0, 0]	[0, 129]	[0, 127]	2
8	[64, 64]	[0, 255]	[64, 127]	2
8	[57, 57]	[0, 255]	[57, 127]	2
8	[7, 7]	[0, 255]	[7, 127]	2
