# ---
# domain: UConstRange
# op: Smin
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 62]
# - [16, 72]
# - [32, 3805]
# - [40, 1]
# - [64, 1397]
# - [128, 3]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[255, 255]	[0, 255]	[128, 255]	3554
8	[0, 255]	[0, 255]	[0, 255]	3473
8	[0, 0]	[0, 255]	[0, 255]	161
8	[5, 5]	[0, 255]	[0, 255]	156
8	[255, 255]	[1, 255]	[128, 255]	66
8	[0, 255]	[15, 15]	[0, 255]	55
8	[4, 4]	[0, 255]	[0, 255]	54
8	[255, 255]	[32, 255]	[128, 255]	52
8	[0, 255]	[0, 127]	[0, 255]	48
8	[191, 191]	[0, 255]	[128, 191]	46
8	[28, 255]	[0, 255]	[0, 255]	39
8	[1, 127]	[1, 127]	[1, 127]	39
8	[48, 48]	[0, 255]	[0, 255]	36
8	[2, 127]	[0, 255]	[0, 255]	28
8	[57, 57]	[0, 255]	[0, 255]	26
8	[33, 33]	[0, 255]	[0, 255]	26
8	[52, 52]	[0, 255]	[0, 255]	22
8	[0, 127]	[0, 255]	[0, 255]	20
8	[31, 31]	[0, 255]	[0, 255]	17
8	[32, 32]	[0, 255]	[0, 255]	16
8	[0, 4]	[0, 255]	[0, 255]	15
8	[78, 78]	[0, 255]	[0, 255]	12
8	[255, 255]	[16, 128]	[128, 255]	12
8	[2, 254]	[0, 127]	[0, 254]	12
8	[143, 143]	[0, 255]	[128, 143]	10
8	[30, 255]	[0, 255]	[0, 255]	10
8	[2, 2]	[0, 127]	[0, 2]	10
8	[63, 63]	[64, 255]	[63, 255]	10
8	[1, 255]	[126, 126]	[1, 255]	8
8	[2, 126]	[0, 127]	[0, 126]	8
8	[2, 2]	[0, 255]	[0, 255]	8
8	[0, 255]	[31, 31]	[0, 255]	7
8	[0, 255]	[0, 0]	[0, 255]	7
8	[0, 255]	[4, 4]	[0, 255]	6
8	[0, 0]	[1, 255]	[0, 255]	6
8	[1, 128]	[0, 127]	[0, 128]	6
8	[27, 27]	[0, 255]	[0, 255]	6
8	[19, 19]	[0, 255]	[0, 255]	6
8	[64, 64]	[0, 255]	[0, 255]	6
