# ---
# domain: UConstRange
# op: SubNsw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 143]
# - [16, 192]
# - [32, 13850]
# - [33, 4]
# - [64, 7308]
# - [65, 4]
# - [128, 95]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[63, 63]	[0, 64]	[0, 255]	4277
8	[0, 1]	[0, 1]	[0, 255]	2837
8	[0, 0]	[0, 1]	[0, 255]	1832
8	[0, 0]	[0, 255]	[0, 255]	1701
8	[63, 63]	[32, 64]	[0, 255]	1377
8	[0, 255]	[0, 255]	[0, 255]	479
8	[0, 1]	[0, 255]	[0, 255]	334
8	[63, 63]	[59, 64]	[0, 255]	209
8	[0, 255]	[0, 1]	[0, 255]	161
8	[0, 0]	[129, 255]	[1, 127]	93
8	[63, 63]	[35, 64]	[0, 255]	88
8	[0, 3]	[0, 3]	[0, 255]	86
8	[0, 0]	[1, 255]	[1, 255]	82
8	[8, 8]	[0, 255]	[0, 255]	43
8	[7, 7]	[0, 8]	[0, 255]	34
8	[0, 0]	[0, 127]	[0, 255]	33
8	[31, 31]	[0, 32]	[0, 255]	31
8	[0, 0]	[32, 63]	[193, 224]	28
8	[8, 8]	[32, 63]	[201, 232]	28
8	[0, 0]	[1, 31]	[225, 255]	28
8	[63, 63]	[3, 64]	[0, 255]	22
8	[0, 63]	[0, 63]	[0, 255]	20
8	[0, 1]	[0, 2]	[0, 255]	20
8	[34, 34]	[0, 32]	[2, 34]	18
8	[30, 30]	[0, 32]	[0, 255]	17
8	[11, 11]	[0, 127]	[0, 255]	14
8	[5, 5]	[0, 127]	[0, 255]	14
8	[0, 29]	[13, 13]	[0, 255]	13
8	[0, 0]	[8, 15]	[241, 248]	13
8	[23, 23]	[0, 127]	[0, 255]	12
8	[63, 63]	[31, 64]	[0, 255]	12
8	[0, 0]	[0, 63]	[0, 255]	12
8	[0, 16]	[12, 12]	[0, 255]	11
8	[66, 66]	[0, 64]	[2, 66]	11
8	[63, 63]	[48, 64]	[0, 255]	11
8	[48, 48]	[247, 255]	[49, 57]	10
8	[0, 29]	[24, 24]	[0, 255]	9
8	[1, 12]	[1, 12]	[0, 255]	9
8	[0, 0]	[255, 255]	[1, 1]	8
8	[23, 23]	[1, 127]	[0, 255]	8
8	[14, 14]	[0, 15]	[0, 255]	8
8	[0, 63]	[0, 31]	[0, 255]	8
8	[63, 63]	[0, 63]	[0, 63]	7
8	[63, 63]	[56, 64]	[0, 255]	7
8	[0, 6]	[1, 7]	[0, 255]	6
8	[31, 31]	[232, 255]	[32, 55]	6
8	[0, 0]	[0, 48]	[0, 255]	6
8	[11, 11]	[1, 127]	[0, 255]	6
8	[5, 5]	[1, 127]	[0, 255]	6
8	[0, 35]	[0, 5]	[0, 255]	6
8	[0, 31]	[255, 255]	[1, 32]	6
8	[13, 13]	[1, 14]	[0, 255]	6
8	[0, 0]	[192, 255]	[1, 64]	6
8	[0, 0]	[28, 255]	[1, 228]	5
8	[6, 6]	[0, 13]	[0, 255]	5
8	[0, 1]	[2, 8]	[248, 255]	5
8	[0, 0]	[0, 4]	[0, 255]	5
8	[0, 0]	[1, 8]	[248, 255]	5
8	[0, 0]	[4, 4]	[252, 252]	5
8	[0, 0]	[0, 31]	[0, 255]	5
