# ---
# domain: UConstRange
# op: SubNuw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 53]
# - [16, 53]
# - [32, 803]
# - [64, 2674]
# - [128, 71]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[1, 255]	[0, 254]	[0, 255]	478
8	[0, 255]	[0, 255]	[0, 255]	318
8	[128, 128]	[0, 128]	[0, 128]	36
8	[48, 255]	[48, 48]	[0, 207]	16
8	[0, 255]	[0, 0]	[0, 255]	15
8	[2, 255]	[2, 16]	[0, 253]	12
8	[7, 255]	[7, 7]	[0, 248]	12
8	[2, 255]	[7, 7]	[0, 248]	12
8	[2, 255]	[2, 7]	[0, 253]	12
8	[1, 255]	[1, 1]	[0, 254]	11
8	[1, 255]	[0, 0]	[1, 255]	11
8	[1, 255]	[1, 8]	[0, 254]	11
8	[100, 128]	[100, 100]	[0, 28]	10
8	[130, 130]	[0, 127]	[3, 130]	8
8	[129, 132]	[128, 128]	[1, 4]	6
8	[128, 128]	[0, 255]	[0, 128]	6
8	[142, 142]	[0, 141]	[1, 142]	4
8	[134, 134]	[0, 133]	[1, 134]	4
8	[0, 255]	[1, 1]	[0, 254]	4
8	[2, 255]	[1, 254]	[0, 254]	4
8	[1, 255]	[1, 255]	[0, 254]	4
8	[2, 2]	[0, 1]	[1, 2]	3
8	[128, 128]	[0, 1]	[127, 128]	3
8	[0, 255]	[0, 64]	[0, 255]	2
8	[0, 255]	[0, 5]	[0, 255]	2
8	[1, 255]	[0, 31]	[0, 255]	2
8	[3, 3]	[0, 2]	[1, 3]	2
8	[0, 255]	[0, 4]	[0, 255]	2
8	[5, 247]	[5, 14]	[0, 242]	2
8	[0, 255]	[3, 3]	[0, 252]	2
8	[0, 255]	[8, 8]	[0, 247]	2
8	[4, 255]	[0, 2]	[2, 255]	2
8	[1, 128]	[1, 1]	[0, 127]	2
8	[9, 30]	[0, 30]	[0, 30]	2
8	[2, 255]	[1, 255]	[0, 254]	2
8	[1, 255]	[1, 254]	[0, 254]	2
8	[0, 247]	[0, 247]	[0, 247]	2
8	[1, 255]	[0, 1]	[0, 255]	1
8	[1, 1]	[1, 1]	[0, 0]	1
8	[0, 255]	[7, 7]	[0, 248]	1
8	[4, 4]	[0, 3]	[1, 4]	1
8	[9, 9]	[0, 8]	[1, 9]	1
8	[8, 8]	[0, 7]	[1, 8]	1
8	[7, 7]	[0, 6]	[1, 7]	1
8	[128, 255]	[128, 128]	[0, 127]	1
8	[0, 255]	[128, 128]	[0, 127]	1
8	[1, 255]	[0, 128]	[0, 255]	1
8	[1, 255]	[0, 255]	[0, 255]	1
8	[100, 107]	[100, 100]	[0, 7]	1
8	[0, 255]	[1, 255]	[0, 254]	1
8	[1, 255]	[1, 4]	[0, 254]	1
8	[128, 128]	[0, 127]	[1, 128]	1
8	[0, 254]	[0, 254]	[0, 254]	1
16	[1, 65535]	[0, 65534]	[0, 65535]	187
