# ---
# domain: UConstRange
# op: Udiv
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [2, 10]
# - [3, 16]
# - [4, 10]
# - [5, 10]
# - [6, 32]
# - [7, 4]
# - [8, 946]
# - [9, 18]
# - [10, 2]
# - [11, 3]
# - [12, 3]
# - [13, 1]
# - [15, 9]
# - [16, 1117]
# - [17, 12]
# - [18, 5]
# - [19, 5]
# - [20, 1]
# - [21, 3]
# - [22, 1]
# - [23, 1]
# - [24, 35]
# - [28, 3]
# - [29, 3]
# - [30, 6]
# - [31, 7]
# - [32, 14860]
# - [33, 861]
# - [34, 119]
# - [35, 96]
# - [36, 59]
# - [37, 40]
# - [38, 27]
# - [39, 13]
# - [40, 39]
# - [41, 6]
# - [42, 2]
# - [43, 1]
# - [44, 6]
# - [45, 2]
# - [46, 8]
# - [47, 5]
# - [48, 46]
# - [49, 5]
# - [50, 1]
# - [51, 2]
# - [52, 5]
# - [53, 3]
# - [54, 1]
# - [55, 4]
# - [56, 13]
# - [57, 2]
# - [61, 2]
# - [63, 3]
# - [64, 35932]
# - [65, 2321]
# - [66, 1018]
# - [67, 767]
# - [68, 454]
# - [69, 338]
# - [70, 181]
# - [71, 34]
# - [72, 84]
# - [73, 9]
# - [74, 32]
# - [75, 5]
# - [76, 16]
# - [77, 3]
# - [78, 4]
# - [79, 5]
# - [80, 7]
# - [81, 5]
# - [82, 9]
# - [83, 15]
# - [84, 2]
# - [85, 1]
# - [86, 1]
# - [88, 6]
# - [89, 6]
# - [90, 4]
# - [91, 4]
# - [93, 2]
# - [94, 1]
# - [95, 6]
# - [96, 24]
# - [100, 1]
# - [101, 1]
# - [102, 1]
# - [104, 6]
# - [106, 1]
# - [110, 1]
# - [111, 3]
# - [112, 1]
# - [113, 3]
# - [114, 1]
# - [115, 3]
# - [116, 1]
# - [117, 4]
# - [119, 3]
# - [120, 8]
# - [121, 2]
# - [123, 4]
# - [124, 1]
# - [125, 1]
# - [127, 1]
# - [128, 1012]
# - [130, 2]
# - [131, 5]
# - [132, 3]
# - [140, 1]
# - [160, 8]
# - [189, 1]
# - [190, 2]
# - [192, 17]
# - [194, 1]
# - [199, 1]
# - [201, 3]
# - [203, 1]
# - [206, 3]
# - [218, 3]
# - [224, 7]
# - [256, 7]
# - [289, 1]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
2	[0, 3]	[0, 3]	[0, 3]	1184
2	[0, 3]	[3, 3]	[0, 1]	432
2	[0, 2]	[3, 3]	[0, 0]	7
2	[0, 3]	[0, 1]	[0, 3]	3
2	[0, 2]	[0, 1]	[0, 2]	3
2	[1, 3]	[0, 1]	[1, 3]	3
2	[0, 2]	[0, 3]	[0, 2]	2
2	[2, 3]	[3, 3]	[0, 1]	1
2	[1, 2]	[3, 3]	[0, 0]	1
2	[0, 3]	[0, 2]	[0, 3]	1
3	[0, 7]	[0, 7]	[0, 7]	450
3	[0, 7]	[7, 7]	[0, 1]	235
3	[0, 4]	[3, 3]	[0, 1]	56
3	[0, 4]	[5, 5]	[0, 0]	56
3	[0, 7]	[2, 2]	[0, 3]	31
3	[0, 7]	[6, 6]	[0, 1]	26
3	[0, 4]	[0, 7]	[0, 4]	22
3	[0, 6]	[6, 6]	[0, 1]	20
3	[0, 7]	[3, 3]	[0, 2]	16
3	[0, 7]	[5, 5]	[0, 1]	16
3	[0, 4]	[6, 6]	[0, 0]	13
3	[0, 4]	[7, 7]	[0, 0]	11
3	[0, 5]	[0, 7]	[0, 5]	4
3	[0, 7]	[0, 1]	[0, 7]	3
3	[0, 5]	[7, 7]	[0, 0]	2
3	[0, 7]	[4, 4]	[0, 1]	1
4	[0, 15]	[0, 15]	[0, 15]	66
4	[0, 15]	[15, 15]	[0, 1]	26
4	[0, 15]	[12, 12]	[0, 1]	14
4	[0, 15]	[2, 4]	[0, 7]	4
4	[0, 15]	[12, 14]	[0, 1]	4
4	[0, 7]	[2, 2]	[0, 3]	2
4	[0, 15]	[5, 5]	[0, 3]	2
4	[0, 15]	[11, 11]	[0, 1]	2
4	[0, 12]	[12, 12]	[0, 1]	2
4	[0, 12]	[14, 14]	[0, 0]	1
5	[0, 31]	[0, 31]	[0, 31]	98
5	[0, 31]	[31, 31]	[0, 1]	32
5	[0, 31]	[30, 30]	[0, 1]	12
5	[0, 31]	[3, 3]	[0, 10]	8
5	[0, 31]	[29, 29]	[0, 1]	8
5	[0, 31]	[24, 24]	[0, 1]	4
5	[0, 31]	[12, 12]	[0, 2]	2
5	[0, 31]	[20, 20]	[0, 1]	2
5	[0, 28]	[24, 24]	[0, 1]	1
5	[0, 24]	[24, 24]	[0, 1]	1
6	[0, 60]	[60, 60]	[0, 1]	380
