# ---
# domain: UConstRange
# op: Umax
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [1, 1]
# - [2, 4]
# - [3, 2]
# - [4, 3]
# - [5, 2]
# - [6, 2]
# - [7, 2]
# - [8, 490]
# - [9, 2]
# - [10, 4]
# - [11, 4]
# - [12, 3]
# - [15, 1]
# - [16, 398]
# - [17, 5]
# - [18, 2]
# - [19, 2]
# - [20, 1]
# - [24, 10]
# - [31, 2]
# - [32, 4438]
# - [33, 104]
# - [34, 74]
# - [35, 70]
# - [36, 44]
# - [37, 38]
# - [38, 35]
# - [39, 6]
# - [40, 6]
# - [41, 1]
# - [42, 4]
# - [43, 1]
# - [44, 1]
# - [45, 1]
# - [48, 2]
# - [50, 2]
# - [61, 7]
# - [62, 4]
# - [64, 8124]
# - [65, 375]
# - [66, 548]
# - [67, 498]
# - [68, 282]
# - [69, 243]
# - [70, 165]
# - [71, 50]
# - [72, 71]
# - [73, 30]
# - [74, 40]
# - [75, 13]
# - [76, 10]
# - [77, 5]
# - [78, 4]
# - [79, 1]
# - [80, 2]
# - [81, 1]
# - [83, 1]
# - [84, 2]
# - [94, 2]
# - [95, 2]
# - [96, 3]
# - [102, 1]
# - [124, 1]
# - [128, 131]
# - [129, 3]
# - [130, 4]
# - [131, 7]
# - [132, 6]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
1	[0, 1]	[0, 1]	[0, 1]	5239
2	[1, 1]	[0, 3]	[1, 3]	22
2	[0, 3]	[0, 3]	[0, 3]	4
2	[0, 2]	[0, 3]	[0, 3]	2
2	[0, 3]	[1, 3]	[1, 3]	2
3	[0, 7]	[0, 7]	[0, 7]	56
3	[3, 3]	[0, 7]	[3, 7]	2
4	[1, 1]	[0, 15]	[1, 15]	68
4	[1, 1]	[0, 3]	[1, 3]	2
4	[3, 3]	[0, 15]	[3, 15]	2
5	[1, 1]	[0, 3]	[1, 3]	6
5	[3, 3]	[0, 31]	[3, 31]	6
6	[1, 1]	[0, 3]	[1, 3]	2
6	[3, 3]	[0, 63]	[3, 63]	2
7	[0, 127]	[0, 127]	[0, 127]	16
7	[1, 1]	[0, 127]	[1, 127]	14
8	[1, 1]	[0, 255]	[1, 255]	116712
8	[48, 48]	[0, 57]	[48, 57]	16822
8	[10, 10]	[0, 255]	[10, 255]	11810
8	[0, 255]	[0, 255]	[0, 255]	5483
8	[0, 255]	[1, 1]	[1, 255]	4223
8	[30, 30]	[0, 40]	[30, 40]	2286
8	[1, 1]	[0, 2]	[1, 2]	1992
8	[1, 1]	[0, 127]	[1, 127]	1780
8	[2, 2]	[0, 255]	[2, 255]	1742
8	[5, 5]	[0, 255]	[5, 255]	1590
8	[29, 29]	[0, 255]	[29, 255]	1460
8	[1, 1]	[0, 15]	[1, 15]	1156
8	[1, 1]	[0, 3]	[1, 3]	1010
8	[0, 1]	[0, 1]	[0, 1]	962
8	[49, 49]	[0, 57]	[49, 57]	930
8	[8, 8]	[0, 255]	[8, 255]	910
8	[3, 3]	[0, 255]	[3, 255]	743
8	[1, 1]	[0, 24]	[1, 24]	698
8	[6, 6]	[0, 255]	[6, 255]	538
8	[0, 15]	[0, 15]	[0, 15]	462
8	[4, 4]	[0, 255]	[4, 255]	441
8	[22, 22]	[0, 255]	[22, 255]	420
8	[64, 64]	[0, 255]	[64, 255]	414
8	[1, 1]	[0, 63]	[1, 63]	408
8	[253, 253]	[0, 255]	[253, 255]	404
8	[1, 1]	[0, 4]	[1, 4]	358
8	[1, 1]	[0, 7]	[1, 7]	331
8	[16, 16]	[0, 255]	[16, 255]	306
8	[0, 255]	[16, 16]	[16, 255]	300
8	[1, 1]	[0, 31]	[1, 31]	300
8	[192, 192]	[64, 253]	[192, 253]	272
8	[129, 129]	[0, 255]	[129, 255]	214
8	[97, 97]	[0, 122]	[97, 122]	209
8	[0, 2]	[0, 2]	[0, 2]	188
8	[32, 32]	[0, 255]	[32, 255]	184
8	[1, 1]	[0, 128]	[1, 128]	181
8	[65, 65]	[0, 255]	[65, 255]	174
8	[11, 11]	[0, 255]	[11, 255]	172
8	[0, 30]	[1, 1]	[1, 30]	164
8	[9, 9]	[0, 11]	[9, 11]	148
8	[192, 192]	[0, 255]	[192, 255]	144
8	[1, 1]	[0, 252]	[1, 252]	134
8	[2, 2]	[0, 6]	[2, 6]	130
8	[0, 255]	[0, 15]	[0, 255]	129
8	[48, 48]	[0, 111]	[48, 111]	128
8	[26, 26]	[0, 255]	[26, 255]	122
8	[224, 224]	[0, 255]	[224, 255]	120
8	[144, 144]	[0, 255]	[144, 255]	120
8	[7, 7]	[0, 255]	[7, 255]	113
8	[1, 1]	[0, 254]	[1, 254]	113
8	[65, 65]	[0, 90]	[65, 90]	112
8	[1, 1]	[0, 8]	[1, 8]	108
8	[33, 33]	[0, 255]	[33, 255]	105
8	[240, 240]	[0, 255]	[240, 255]	104
8	[18, 18]	[0, 255]	[18, 255]	100
8	[1, 1]	[0, 16]	[1, 16]	98
8	[0, 0]	[0, 255]	[0, 255]	93
8	[17, 17]	[0, 255]	[17, 255]	91
8	[5, 5]	[0, 35]	[5, 35]	90
8	[0, 255]	[2, 2]	[2, 255]	88
8	[15, 15]	[0, 16]	[15, 16]	88
8	[1, 255]	[0, 255]	[1, 255]	80
8	[0, 255]	[32, 32]	[32, 255]	80
8	[64, 64]	[0, 127]	[64, 127]	78
8	[6, 255]	[0, 255]	[6, 255]	74
8	[0, 255]	[0, 63]	[0, 255]	74
8	[9, 9]	[0, 255]	[9, 255]	70
8	[31, 31]	[0, 255]	[31, 255]	64
8	[12, 12]	[0, 255]	[12, 255]	64
