# ---
# domain: UConstRange
# op: Umin
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [1, 2]
# - [3, 1]
# - [7, 1]
# - [8, 481]
# - [9, 12]
# - [10, 1]
# - [16, 401]
# - [17, 11]
# - [21, 1]
# - [24, 3]
# - [25, 1]
# - [31, 1]
# - [32, 8178]
# - [33, 357]
# - [34, 55]
# - [35, 197]
# - [36, 22]
# - [37, 20]
# - [38, 32]
# - [39, 2]
# - [40, 7]
# - [41, 3]
# - [42, 5]
# - [43, 1]
# - [44, 3]
# - [47, 2]
# - [48, 6]
# - [56, 2]
# - [59, 1]
# - [61, 6]
# - [62, 6]
# - [63, 1]
# - [64, 9889]
# - [65, 785]
# - [66, 390]
# - [67, 538]
# - [68, 245]
# - [69, 159]
# - [70, 113]
# - [71, 46]
# - [72, 50]
# - [73, 25]
# - [74, 36]
# - [75, 9]
# - [76, 15]
# - [77, 2]
# - [78, 2]
# - [79, 1]
# - [80, 2]
# - [81, 2]
# - [83, 1]
# - [84, 2]
# - [85, 4]
# - [86, 1]
# - [87, 1]
# - [88, 1]
# - [89, 1]
# - [94, 1]
# - [96, 5]
# - [97, 1]
# - [101, 1]
# - [104, 1]
# - [112, 1]
# - [128, 349]
# - [129, 2]
# - [130, 4]
# - [131, 3]
# - [132, 1]
# - [133, 1]
# - [134, 2]
# - [140, 1]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
1	[0, 1]	[0, 1]	[0, 1]	42462
1	[0, 1]	[0, 0]	[0, 0]	3
3	[4, 4]	[0, 7]	[0, 4]	2
7	[0, 127]	[0, 126]	[0, 126]	14
8	[57, 57]	[0, 255]	[0, 57]	17808
8	[7, 7]	[0, 255]	[0, 7]	9250
8	[0, 254]	[0, 255]	[0, 254]	8766
8	[0, 255]	[0, 255]	[0, 255]	5089
8	[40, 40]	[0, 255]	[0, 40]	2289
8	[4, 4]	[0, 255]	[0, 4]	1959
8	[2, 2]	[0, 255]	[0, 2]	1758
8	[1, 1]	[0, 255]	[0, 1]	1064
8	[24, 24]	[0, 255]	[0, 24]	902
8	[21, 21]	[0, 255]	[0, 21]	722
8	[254, 254]	[0, 255]	[0, 254]	614
8	[245, 245]	[0, 255]	[0, 245]	614
8	[11, 11]	[0, 255]	[0, 11]	528
8	[5, 5]	[0, 255]	[0, 5]	510
8	[0, 255]	[8, 8]	[0, 8]	471
8	[0, 0]	[254, 254]	[0, 0]	460
8	[32, 32]	[0, 255]	[0, 32]	426
8	[0, 255]	[3, 3]	[0, 3]	414
8	[253, 253]	[0, 255]	[0, 253]	404
8	[252, 252]	[0, 255]	[0, 252]	404
8	[3, 3]	[0, 255]	[0, 3]	372
8	[0, 1]	[0, 1]	[0, 1]	363
8	[8, 8]	[1, 15]	[1, 8]	348
8	[6, 6]	[0, 255]	[0, 6]	326
8	[0, 255]	[2, 2]	[0, 2]	322
8	[15, 15]	[0, 255]	[0, 15]	310
8	[29, 29]	[0, 255]	[0, 29]	302
8	[31, 31]	[0, 255]	[0, 31]	300
8	[16, 16]	[0, 255]	[0, 16]	293
