# ---
# domain: UConstRange
# op: UsubSat
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 266]
# - [16, 202]
# - [32, 3792]
# - [64, 5737]
# - [128, 166]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 131]	[129, 129]	[0, 2]	1623
8	[0, 255]	[0, 255]	[0, 255]	682
8	[2, 2]	[0, 1]	[1, 2]	663
8	[23, 23]	[0, 23]	[0, 23]	528
8	[1, 255]	[0, 254]	[0, 255]	478
8	[63, 63]	[0, 63]	[0, 63]	182
8	[0, 219]	[217, 217]	[0, 2]	170
8	[32, 32]	[0, 31]	[1, 32]	116
8	[30, 30]	[0, 29]	[1, 30]	110
8	[64, 64]	[0, 63]	[1, 64]	107
8	[34, 34]	[0, 31]	[3, 34]	101
8	[8, 8]	[0, 7]	[1, 8]	101
8	[64, 64]	[1, 15]	[49, 63]	84
8	[66, 66]	[0, 63]	[3, 66]	83
8	[0, 255]	[96, 96]	[0, 159]	82
8	[0, 255]	[112, 112]	[0, 143]	82
8	[48, 48]	[8, 24]	[24, 40]	74
8	[5, 5]	[0, 4]	[1, 5]	69
8	[13, 13]	[0, 255]	[0, 13]	61
8	[16, 16]	[0, 15]	[1, 16]	53
8	[2, 2]	[0, 255]	[0, 2]	51
8	[30, 30]	[0, 30]	[0, 30]	50
8	[8, 8]	[0, 8]	[0, 8]	49
8	[254, 254]	[0, 1]	[253, 254]	46
8	[4, 4]	[0, 3]	[1, 4]	44
8	[64, 64]	[32, 64]	[0, 32]	44
8	[48, 48]	[0, 255]	[0, 48]	42
8	[56, 56]	[0, 255]	[0, 56]	42
8	[64, 64]	[0, 64]	[0, 64]	40
8	[0, 32]	[0, 15]	[0, 32]	39
8	[23, 23]	[0, 255]	[0, 23]	36
8	[64, 64]	[1, 11]	[53, 63]	36
8	[64, 64]	[1, 14]	[50, 63]	36
8	[128, 128]	[0, 128]	[0, 128]	36
8	[11, 11]	[0, 1]	[10, 11]	36
8	[3, 3]	[0, 255]	[0, 3]	34
8	[11, 11]	[0, 11]	[0, 11]	34
8	[6, 6]	[0, 5]	[1, 6]	32
8	[0, 255]	[0, 15]	[0, 255]	30
8	[15, 15]	[0, 14]	[1, 15]	28
8	[7, 7]	[0, 6]	[1, 7]	28
8	[48, 48]	[0, 31]	[17, 48]	28
8	[56, 56]	[0, 31]	[25, 56]	28
8	[24, 24]	[0, 1]	[23, 24]	27
8	[0, 255]	[1, 1]	[0, 254]	26
8	[4, 4]	[1, 3]	[1, 3]	26
8	[4, 4]	[0, 255]	[0, 4]	26
8	[64, 64]	[1, 64]	[0, 63]	25
8	[61, 61]	[0, 60]	[1, 61]	24
8	[0, 255]	[191, 255]	[0, 64]	24
8	[64, 64]	[0, 32]	[32, 64]	24
8	[34, 34]	[0, 32]	[2, 34]	23
8	[32, 32]	[1, 31]	[1, 31]	22
8	[8, 8]	[0, 255]	[0, 8]	22
8	[32, 32]	[16, 31]	[1, 16]	22
8	[64, 64]	[0, 61]	[3, 64]	21
8	[7, 7]	[0, 255]	[0, 7]	20
8	[6, 6]	[0, 255]	[0, 6]	20
8	[5, 5]	[0, 255]	[0, 5]	20
8	[9, 9]	[0, 9]	[0, 9]	20
8	[0, 255]	[0, 1]	[0, 255]	19
8	[9, 9]	[0, 255]	[0, 9]	18
8	[34, 34]	[1, 31]	[3, 33]	18
8	[14, 14]	[0, 1]	[13, 14]	18
8	[49, 49]	[0, 1]	[48, 49]	18
8	[56, 56]	[0, 56]	[0, 56]	18
8	[23, 23]	[1, 23]	[0, 22]	18
8	[63, 63]	[0, 64]	[0, 63]	18
8	[63, 63]	[32, 64]	[0, 31]	18
8	[48, 255]	[48, 48]	[0, 207]	16
8	[0, 255]	[51, 51]	[0, 204]	15
8	[50, 50]	[16, 25]	[25, 34]	15
8	[2, 2]	[0, 2]	[0, 2]	15
8	[13, 13]	[0, 13]	[0, 13]	15
8	[0, 255]	[0, 0]	[0, 255]	15
8	[0, 255]	[129, 129]	[0, 126]	13
8	[5, 5]	[0, 5]	[0, 5]	13
8	[0, 13]	[1, 1]	[0, 12]	13
8	[34, 34]	[16, 31]	[3, 18]	12
8	[64, 64]	[27, 33]	[31, 37]	12
8	[64, 64]	[0, 255]	[0, 64]	12
8	[2, 255]	[2, 16]	[0, 253]	12
8	[7, 255]	[7, 7]	[0, 248]	12
8	[2, 255]	[7, 7]	[0, 248]	12
8	[2, 255]	[2, 7]	[0, 253]	12
8	[1, 1]	[0, 255]	[0, 1]	11
8	[2, 2]	[0, 0]	[2, 2]	11
8	[66, 66]	[0, 64]	[2, 66]	11
8	[1, 255]	[1, 1]	[0, 254]	11
8	[0, 15]	[1, 1]	[0, 14]	11
8	[53, 53]	[0, 255]	[0, 53]	11
8	[1, 255]	[0, 0]	[1, 255]	11
8	[1, 255]	[1, 8]	[0, 254]	11
8	[100, 128]	[100, 100]	[0, 28]	10
8	[53, 53]	[51, 53]	[0, 2]	10
8	[16, 16]	[0, 255]	[0, 16]	10
8	[8, 8]	[1, 7]	[1, 7]	10
8	[38, 38]	[23, 28]	[10, 15]	10
8	[10, 10]	[0, 9]	[1, 10]	10
8	[24, 24]	[0, 3]	[21, 24]	10
8	[66, 66]	[1, 63]	[3, 65]	9
8	[67, 67]	[16, 24]	[43, 51]	9
8	[0, 255]	[47, 47]	[0, 208]	9
8	[64, 64]	[48, 64]	[0, 16]	9
8	[8, 8]	[0, 4]	[4, 8]	8
8	[130, 130]	[0, 127]	[3, 130]	8
8	[64, 64]	[1, 61]	[3, 63]	7
8	[32, 32]	[0, 32]	[0, 32]	7
8	[4, 4]	[0, 4]	[0, 4]	7
8	[16, 16]	[0, 8]	[8, 16]	7
8	[67, 67]	[16, 31]	[36, 51]	6
8	[23, 23]	[0, 2]	[21, 23]	6
8	[3, 3]	[0, 2]	[1, 3]	6
8	[129, 132]	[128, 128]	[1, 4]	6
8	[26, 26]	[2, 3]	[23, 24]	6
8	[34, 34]	[24, 32]	[2, 10]	6
8	[32, 32]	[0, 0]	[32, 32]	6
8	[128, 128]	[0, 255]	[0, 128]	6
8	[3, 3]	[1, 8]	[0, 2]	5
8	[12, 12]	[0, 1]	[11, 12]	5
8	[11, 11]	[1, 11]	[0, 10]	5
8	[5, 5]	[1, 5]	[0, 4]	5
8	[0, 255]	[9, 9]	[0, 246]	5
8	[2, 2]	[1, 3]	[0, 1]	4
8	[142, 142]	[0, 141]	[1, 142]	4
8	[134, 134]	[0, 133]	[1, 134]	4
8	[53, 53]	[0, 130]	[0, 53]	4
8	[8, 8]	[1, 8]	[0, 7]	4
8	[0, 255]	[63, 63]	[0, 192]	4
8	[38, 38]	[24, 28]	[10, 14]	4
8	[38, 38]	[20, 28]	[10, 18]	4
8	[1, 1]	[0, 1]	[0, 1]	4
8	[160, 160]	[0, 31]	[129, 160]	4
8	[7, 7]	[0, 8]	[0, 7]	4
8	[9, 30]	[0, 30]	[0, 30]	4
8	[28, 28]	[4, 6]	[22, 24]	4
8	[2, 255]	[1, 254]	[0, 254]	4
8	[16, 16]	[0, 16]	[0, 16]	4
8	[34, 34]	[16, 32]	[2, 18]	4
8	[10, 10]	[0, 7]	[3, 10]	4
8	[1, 255]	[1, 255]	[0, 254]	4
8	[14, 14]	[0, 31]	[0, 14]	4
8	[0, 129]	[129, 129]	[0, 0]	3
8	[128, 128]	[0, 1]	[127, 128]	3
8	[46, 48]	[47, 47]	[0, 1]	3
8	[0, 255]	[0, 4]	[0, 255]	3
8	[14, 14]	[0, 7]	[7, 14]	3
8	[64, 64]	[1, 16]	[48, 63]	3
8	[6, 6]	[0, 6]	[0, 6]	3
8	[28, 28]	[4, 7]	[21, 24]	3
8	[24, 24]	[1, 3]	[21, 23]	3
8	[64, 64]	[47, 64]	[0, 17]	3
8	[64, 64]	[40, 64]	[0, 24]	3
8	[63, 63]	[32, 63]	[0, 31]	3
8	[15, 15]	[0, 15]	[0, 15]	3
8	[16, 16]	[1, 16]	[0, 15]	3
8	[3, 3]	[1, 2]	[1, 2]	3
