# ---
# domain: UConstRange
# op: Xor
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [1, 9]
# - [2, 1]
# - [3, 2]
# - [4, 3]
# - [8, 567]
# - [9, 3]
# - [16, 379]
# - [24, 3]
# - [32, 4312]
# - [40, 3]
# - [64, 4012]
# - [80, 1]
# - [128, 119]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
1	[0, 1]	[1, 1]	[0, 1]	800267
1	[0, 0]	[1, 1]	[1, 1]	43759
1	[0, 1]	[0, 1]	[0, 1]	40758
1	[1, 1]	[1, 1]	[0, 0]	27082
1	[1, 1]	[0, 1]	[0, 1]	546
1	[0, 0]	[0, 1]	[0, 1]	483
1	[0, 1]	[0, 0]	[0, 1]	254
1	[0, 0]	[0, 0]	[0, 0]	246
1	[1, 1]	[0, 0]	[1, 1]	13
2	[0, 3]	[3, 3]	[0, 3]	11
3	[0, 7]	[4, 4]	[0, 7]	144
3	[0, 7]	[7, 7]	[0, 7]	1
4	[0, 5]	[5, 5]	[0, 7]	20
4	[0, 14]	[15, 15]	[1, 15]	4
4	[0, 1]	[1, 1]	[0, 1]	1
8	[0, 255]	[255, 255]	[0, 255]	36304
8	[0, 1]	[1, 1]	[0, 1]	30194
8	[0, 255]	[0, 255]	[0, 255]	7601
8	[1, 128]	[255, 255]	[127, 254]	5920
8	[0, 31]	[31, 31]	[0, 31]	2532
8	[0, 255]	[1, 1]	[0, 255]	2513
8	[0, 255]	[128, 128]	[0, 255]	2019
8	[0, 1]	[0, 1]	[0, 1]	798
8	[0, 255]	[0, 1]	[0, 255]	553
8	[0, 0]	[1, 1]	[1, 1]	458
8	[2, 2]	[1, 1]	[3, 3]	438
8	[3, 192]	[255, 255]	[63, 252]	432
8	[0, 255]	[78, 78]	[0, 255]	413
8	[0, 255]	[73, 73]	[0, 255]	309
8	[0, 255]	[65, 65]	[0, 255]	296
8	[0, 255]	[70, 70]	[0, 255]	295
8	[0, 1]	[0, 255]	[0, 255]	292
8	[1, 254]	[255, 255]	[1, 254]	274
8	[0, 254]	[255, 255]	[1, 255]	248
8	[0, 2]	[1, 1]	[0, 3]	227
8	[1, 1]	[255, 255]	[254, 254]	215
8	[0, 7]	[7, 7]	[0, 7]	206
8	[0, 255]	[0, 0]	[0, 255]	201
8	[0, 63]	[63, 63]	[0, 63]	195
8	[0, 254]	[77, 77]	[0, 255]	190
8	[1, 252]	[255, 255]	[3, 254]	186
8	[127, 128]	[0, 255]	[0, 255]	173
8	[3, 254]	[255, 255]	[1, 252]	159
8	[0, 255]	[54, 54]	[0, 255]	156
8	[3, 251]	[3, 251]	[0, 255]	150
8	[0, 15]	[255, 255]	[240, 255]	142
8	[1, 254]	[0, 255]	[0, 255]	131
8	[0, 1]	[255, 255]	[254, 255]	123
8	[0, 1]	[3, 3]	[2, 3]	115
8	[1, 1]	[0, 255]	[0, 255]	112
8	[0, 255]	[32, 32]	[0, 255]	109
8	[128, 255]	[255, 255]	[0, 127]	108
8	[0, 255]	[3, 3]	[0, 255]	106
8	[0, 255]	[106, 106]	[0, 255]	102
8	[0, 255]	[110, 110]	[0, 255]	99
8	[0, 252]	[255, 255]	[3, 255]	91
8	[0, 2]	[2, 2]	[0, 3]	87
8	[0, 255]	[2, 2]	[0, 255]	81
8	[0, 255]	[240, 240]	[0, 255]	81
8	[128, 254]	[255, 255]	[1, 127]	80
8	[0, 63]	[255, 255]	[192, 255]	73
8	[0, 4]	[4, 4]	[0, 7]	71
8	[110, 110]	[0, 255]	[0, 255]	70
8	[1, 255]	[255, 255]	[0, 254]	69
8	[0, 0]	[0, 255]	[0, 255]	69
8	[0, 0]	[0, 1]	[0, 1]	69
8	[0, 255]	[8, 8]	[0, 255]	66
8	[0, 255]	[1, 254]	[0, 255]	62
8	[0, 15]	[15, 15]	[0, 15]	61
8	[0, 255]	[0, 128]	[0, 255]	60
8	[50, 60]	[255, 255]	[195, 205]	59
8	[1, 2]	[255, 255]	[253, 254]	58
8	[0, 0]	[0, 0]	[0, 0]	58
8	[0, 255]	[16, 16]	[0, 255]	54
8	[0, 255]	[92, 92]	[0, 255]	53
8	[0, 127]	[127, 127]	[0, 127]	51
8	[0, 31]	[0, 63]	[0, 63]	48
8	[1, 1]	[1, 1]	[0, 0]	46
8	[0, 63]	[32, 32]	[0, 63]	46
8	[0, 0]	[7, 7]	[7, 7]	44
8	[28, 58]	[62, 62]	[4, 35]	44
8	[0, 255]	[24, 24]	[0, 255]	43
8	[1, 4]	[255, 255]	[251, 254]	42
8	[105, 105]	[0, 255]	[0, 255]	42
8	[0, 32]	[0, 255]	[0, 255]	41
8	[4, 127]	[126, 126]	[0, 123]	40
8	[0, 128]	[249, 249]	[121, 255]	37
8	[0, 32]	[32, 32]	[0, 63]	36
8	[0, 255]	[10, 10]	[0, 255]	35
8	[0, 7]	[4, 4]	[0, 7]	34
8	[0, 31]	[255, 255]	[224, 255]	34
8	[0, 255]	[0, 254]	[0, 255]	33
8	[1, 1]	[0, 1]	[0, 1]	32
8	[0, 2]	[0, 1]	[0, 3]	32
8	[0, 63]	[0, 31]	[0, 63]	32
8	[0, 1]	[0, 3]	[0, 3]	32
8	[0, 3]	[0, 7]	[0, 7]	32
8	[0, 7]	[0, 15]	[0, 15]	32
8	[0, 15]	[0, 31]	[0, 31]	32
8	[0, 63]	[0, 127]	[0, 127]	32
8	[0, 255]	[4, 4]	[0, 255]	30
8	[0, 128]	[128, 128]	[0, 255]	30
8	[65, 90]	[32, 32]	[97, 122]	30
8	[0, 255]	[43, 43]	[0, 255]	30
8	[1, 255]	[0, 255]	[0, 255]	29
8	[102, 102]	[0, 255]	[0, 255]	28
8	[0, 255]	[1, 255]	[0, 255]	27
8	[0, 1]	[7, 7]	[6, 7]	27
8	[97, 122]	[32, 32]	[65, 90]	26
8	[0, 255]	[48, 48]	[0, 255]	26
8	[2, 2]	[255, 255]	[253, 253]	26
8	[32, 63]	[63, 63]	[0, 31]	26
8	[0, 7]	[255, 255]	[248, 255]	25
8	[0, 2]	[3, 3]	[1, 3]	25
8	[97, 97]	[0, 255]	[0, 255]	25
8	[0, 0]	[255, 255]	[255, 255]	23
8	[0, 16]	[0, 16]	[0, 31]	22
8	[1, 31]	[31, 31]	[0, 30]	22
8	[0, 2]	[7, 7]	[5, 7]	21
8	[64, 127]	[0, 119]	[0, 127]	21
8	[0, 255]	[31, 31]	[0, 255]	20
8	[1, 255]	[0, 0]	[1, 255]	20
8	[97, 122]	[0, 255]	[0, 255]	20
8	[0, 8]	[0, 255]	[0, 255]	20
8	[0, 255]	[0, 240]	[0, 255]	20
8	[2, 255]	[0, 255]	[0, 255]	20
8	[0, 255]	[0, 248]	[0, 255]	19
8	[0, 255]	[2, 255]	[0, 255]	19
8	[0, 255]	[101, 101]	[0, 255]	19
8	[0, 4]	[0, 4]	[0, 7]	18
8	[0, 128]	[193, 193]	[65, 255]	18
8	[0, 255]	[254, 254]	[0, 255]	18
8	[0, 255]	[0, 15]	[0, 255]	17
8	[63, 63]	[255, 255]	[192, 192]	16
8	[0, 255]	[0, 252]	[0, 255]	16
8	[0, 255]	[0, 224]	[0, 255]	16
8	[0, 255]	[0, 192]	[0, 255]	16
8	[128, 128]	[255, 255]	[127, 127]	15
8	[0, 255]	[85, 85]	[0, 255]	15
8	[0, 253]	[0, 1]	[0, 253]	14
8	[0, 31]	[0, 255]	[0, 255]	14
8	[0, 255]	[5, 5]	[0, 255]	14
8	[0, 3]	[1, 1]	[0, 3]	13
8	[0, 127]	[255, 255]	[128, 255]	12
8	[0, 1]	[0, 0]	[0, 1]	12
8	[2, 128]	[255, 255]	[127, 253]	12
8	[0, 14]	[15, 15]	[1, 15]	12
8	[0, 255]	[253, 253]	[0, 255]	12
8	[0, 127]	[0, 119]	[0, 127]	12
8	[0, 63]	[1, 119]	[0, 127]	12
8	[0, 255]	[1, 128]	[0, 255]	11
8	[0, 127]	[1, 128]	[0, 255]	11
8	[0, 255]	[0, 63]	[0, 255]	11
8	[0, 8]	[8, 8]	[0, 15]	11
8	[0, 255]	[19, 19]	[0, 255]	11
8	[0, 255]	[6, 6]	[0, 255]	11
8	[0, 6]	[7, 7]	[1, 7]	11
8	[32, 62]	[63, 63]	[1, 31]	11
8	[0, 255]	[64, 127]	[0, 255]	11
8	[224, 255]	[255, 255]	[0, 31]	10
8	[1, 255]	[254, 254]	[0, 255]	10
8	[1, 255]	[252, 252]	[0, 255]	10
8	[1, 255]	[248, 248]	[0, 255]	10
8	[1, 255]	[240, 240]	[0, 255]	10
8	[1, 255]	[224, 224]	[0, 255]	10
8	[1, 255]	[192, 192]	[0, 255]	10
8	[1, 255]	[128, 128]	[0, 255]	10
8	[64, 128]	[255, 255]	[127, 191]	10
8	[0, 27]	[0, 254]	[0, 255]	10
8	[0, 255]	[7, 7]	[0, 255]	10
8	[88, 88]	[0, 255]	[0, 255]	10
8	[0, 0]	[4, 4]	[4, 4]	9
8	[0, 255]	[64, 64]	[0, 255]	9
8	[0, 14]	[255, 255]	[241, 255]	9
8	[0, 255]	[0, 31]	[0, 255]	9
8	[0, 255]	[224, 224]	[0, 255]	9
8	[0, 120]	[124, 124]	[4, 127]	9
8	[0, 255]	[165, 165]	[0, 255]	9
8	[0, 192]	[128, 128]	[0, 255]	9
8	[0, 255]	[169, 169]	[0, 255]	9
8	[0, 2]	[0, 3]	[0, 3]	9
8	[0, 254]	[19, 19]	[0, 255]	8
8	[0, 254]	[0, 255]	[0, 255]	8
8	[0, 6]	[255, 255]	[249, 255]	8
8	[0, 254]	[0, 27]	[0, 255]	8
8	[0, 254]	[2, 2]	[0, 255]	8
8	[0, 8]	[0, 8]	[0, 15]	8
8	[0, 255]	[97, 122]	[0, 255]	8
8	[0, 255]	[84, 84]	[0, 255]	8
8	[0, 15]	[0, 255]	[0, 255]	8
8	[1, 13]	[255, 255]	[242, 254]	8
8	[32, 128]	[255, 255]	[127, 223]	8
8	[0, 63]	[105, 119]	[64, 127]	8
8	[0, 63]	[104, 119]	[64, 127]	8
8	[0, 13]	[255, 255]	[242, 255]	7
8	[0, 255]	[99, 99]	[0, 255]	7
8	[0, 16]	[16, 16]	[0, 31]	7
8	[0, 128]	[250, 250]	[122, 255]	7
8	[116, 116]	[0, 255]	[0, 255]	7
8	[121, 121]	[0, 255]	[0, 255]	7
8	[0, 255]	[89, 89]	[0, 255]	7
8	[0, 3]	[0, 11]	[0, 11]	7
8	[0, 30]	[31, 31]	[1, 31]	7
8	[0, 63]	[127, 127]	[64, 127]	7
8	[1, 16]	[255, 255]	[239, 254]	6
8	[0, 15]	[3, 3]	[0, 15]	6
8	[255, 255]	[0, 0]	[255, 255]	6
8	[0, 32]	[225, 225]	[193, 255]	6
8	[0, 32]	[227, 227]	[195, 255]	6
8	[0, 255]	[196, 196]	[0, 255]	6
8	[8, 8]	[0, 255]	[0, 255]	6
8	[0, 6]	[6, 6]	[0, 7]	6
8	[1, 8]	[255, 255]	[247, 254]	6
8	[0, 255]	[9, 9]	[0, 255]	6
8	[0, 95]	[255, 255]	[160, 255]	6
8	[3, 63]	[63, 63]	[0, 60]	6
8	[0, 90]	[32, 32]	[0, 122]	6
8	[0, 255]	[16, 223]	[0, 255]	6
8	[0, 255]	[0, 253]	[0, 255]	6
8	[96, 127]	[0, 3]	[96, 127]	6
8	[96, 127]	[0, 119]	[0, 127]	6
8	[0, 255]	[90, 90]	[0, 255]	6
8	[0, 3]	[2, 2]	[0, 3]	5
8	[0, 32]	[255, 255]	[223, 255]	5
8	[4, 4]	[0, 255]	[0, 255]	5
8	[211, 211]	[0, 255]	[0, 255]	5
8	[255, 255]	[0, 224]	[31, 255]	5
8	[1, 121]	[120, 120]	[0, 127]	5
8	[1, 255]	[120, 120]	[0, 255]	5
8	[0, 128]	[255, 255]	[127, 255]	5
8	[236, 236]	[0, 255]	[0, 255]	5
8	[0, 3]	[255, 255]	[252, 255]	5
8	[0, 42]	[255, 255]	[213, 255]	5
8	[0, 251]	[255, 255]	[4, 255]	5
8	[0, 255]	[13, 13]	[0, 255]	5
8	[0, 255]	[14, 14]	[0, 255]	5
8	[0, 2]	[255, 255]	[253, 255]	5
8	[0, 12]	[0, 99]	[0, 111]	5
8	[0, 1]	[1, 12]	[0, 13]	5
8	[0, 127]	[87, 87]	[0, 127]	5
8	[0, 63]	[101, 119]	[64, 127]	5
8	[0, 4]	[1, 119]	[0, 119]	5
8	[0, 127]	[0, 3]	[0, 127]	5
8	[4, 4]	[252, 252]	[248, 248]	5
8	[0, 31]	[1, 119]	[0, 127]	5
8	[0, 255]	[40, 40]	[0, 255]	4
8	[80, 112]	[255, 255]	[143, 175]	4
8	[32, 112]	[255, 255]	[143, 223]	4
8	[3, 64]	[127, 127]	[63, 124]	4
8	[0, 1]	[19, 19]	[18, 19]	4
8	[0, 3]	[19, 19]	[16, 19]	4
8	[0, 7]	[19, 19]	[16, 23]	4
8	[1, 1]	[7, 7]	[6, 6]	4
8	[0, 3]	[0, 3]	[0, 3]	4
8	[0, 1]	[39, 39]	[38, 39]	4
8	[0, 255]	[0, 127]	[0, 255]	4
8	[0, 128]	[0, 255]	[0, 255]	4
8	[0, 255]	[55, 55]	[0, 255]	4
8	[0, 255]	[17, 17]	[0, 255]	4
8	[1, 255]	[63, 63]	[0, 255]	4
8	[0, 128]	[254, 254]	[126, 255]	4
8	[150, 150]	[0, 255]	[0, 255]	4
8	[13, 13]	[0, 255]	[0, 255]	4
8	[205, 205]	[0, 255]	[0, 255]	4
8	[0, 7]	[1, 1]	[0, 7]	4
8	[0, 255]	[249, 249]	[0, 255]	4
8	[32, 32]	[97, 255]	[65, 255]	4
8	[0, 0]	[0, 96]	[0, 96]	4
8	[0, 255]	[11, 11]	[0, 255]	4
8	[0, 255]	[12, 12]	[0, 255]	4
8	[1, 128]	[0, 255]	[0, 255]	4
8	[0, 120]	[120, 120]	[0, 127]	4
8	[0, 126]	[127, 127]	[1, 127]	4
8	[0, 254]	[16, 16]	[0, 255]	4
8	[59, 61]	[63, 63]	[2, 4]	4
8	[192, 254]	[255, 255]	[1, 63]	4
8	[1, 255]	[1, 255]	[0, 255]	4
8	[1, 127]	[255, 255]	[128, 254]	3
8	[16, 16]	[255, 255]	[239, 239]	3
8	[0, 200]	[2, 2]	[0, 202]	3
8	[4, 16]	[255, 255]	[239, 251]	3
8	[0, 127]	[0, 255]	[0, 255]	3
8	[0, 255]	[0, 7]	[0, 255]	3
8	[17, 17]	[0, 255]	[0, 255]	3
8	[0, 135]	[0, 255]	[0, 255]	3
8	[0, 3]	[3, 3]	[0, 3]	3
8	[0, 1]	[0, 2]	[0, 3]	3
8	[0, 248]	[128, 128]	[0, 255]	3
8	[0, 128]	[251, 251]	[123, 255]	3
8	[254, 254]	[255, 255]	[1, 1]	3
8	[0, 1]	[5, 5]	[4, 5]	3
8	[0, 254]	[0, 135]	[0, 255]	3
8	[107, 107]	[0, 255]	[0, 255]	3
